mileage,price,model,year,description,brand,description_sentiment,description_sentiment_twtr
14 miles,"$24,515 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,"The BMW R 1250 GS Adventure;;No destination is too far;;The world is there to be discovered. There's always something new. The R 1250 GS is the queen of the touring enduro It's just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.4412982165813446}]","[{'label': 'positive', 'score': 0.9345071315765381}]"
,"$24,515 ",R 1250 GS Adventure,New 2022 BMW Dual Sport,,BMW,,
,"$5,740 ",G 310 R,New 2022 BMW Standard,,BMW,,
,"$5,740 ",G 310 R,New 2022 BMW Standard,,BMW,,
6 miles,"$24,315 ",R 1250 GS Adventure Triple Black,New 2022 BMW Dual Sport,"The world is there to be discovered. Theres always something new. The R 1250 GS is the queen of the touring enduro Its just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.44114264845848083}]","[{'label': 'positive', 'score': 0.9079522490501404}]"
6 miles,"$22,030 ",R 1250 GS Rally,New 2022 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.5617580413818359}]","[{'label': 'positive', 'score': 0.9702164530754089}]"
2 miles,"$23,999 ",R1800TC BASE,New 2022 BMW Touring,,BMW,,
115 miles,"$27,500 ",K 1600 GTL Black Storm Metallic,New 2022 BMW Sportbike,"There is a German proverb along the lines of anyone who travels with ambitions never travels alone. This is especially true when you are traveling with someone else. The BMW K 1600 GTL represents both these elements. It offers performance touring that leaves no wishes unfulfilled. Its powerful six-cylinder engine now delivers dynamism and superior character: thanks to the comfortably designed vehicle geometry, you can enjoy every mile. - The cockpit has also been redesigned. it has been entirely geared towards interaction with you so you can enjoy every tour even more consciously and intensively. Because traveling together starts here truly in the spirit of #RideAndShare.",BMW,"[{'label': '5 stars', 'score': 0.5444967746734619}]","[{'label': 'positive', 'score': 0.9224185347557068}]"
5 miles,"$30,240 ",R 18 Transcontinental,New 2022 BMW Cruiser,,BMW,,
6 miles,"$17,740 ",R 1250 RS Imperial Blue Metallic,New 2022 BMW Sportbike,"Each tour is determined by two factors: time and distance. With the BMW R 1250 RS you can get more out of every tour. The rich 105 lb-ft torque and 136 hp of the boxer engine accelerate you quickly to your cruising speed. The innovative BMW ShiftCam technology offers you more torque over the entire speed range, so you can rocket to an impressive sprint in every riding situation. The redesigned front gives the full-LED headlight a fresh, sporty look and performs or rides aerodynamically into the wind. This way, you can ride quickly and comfortably at any time. One thing is certain - no matter how much road you ride, with the R 1250 RS your riding pleasure grows with every mile you ride.",BMW,"[{'label': '5 stars', 'score': 0.4955641031265259}]","[{'label': 'positive', 'score': 0.8765343427658081}]"
,"$24,865 ",R 1250 GS ADVENTURE,New 2022 BMW Dual Sport,"22RA  R 1250 GS ADVENTURE USD 20,345.00   Color N2E   Light White / Racing Blue / Racing Red N/C   Upholstery        N/C   Options 230     Comfort Package N/C                 193     Keyless Ride N/C                 19F     Design option silencer N/C                 340     Chrome Exhaust Pipe N/C                 519     Heated Grips N/C     233     Touring Package N/C                 272     GPS Preparation N/C                 538     Cruise Control N/C                 680     Saddle Bag Mounts for ALU Cases N/C     235     Dynamic Package N/C                 191     Dynamic ESA N/C                 222     Gear Shift Assist Pro N/C                 224     Ride Modes Pro N/C     453     Rally Style Package 800.00                 413Passenger Kit N/C                 771     Cross Spoke Wheels N/C     18B     Dynamic Engine Brake Control N/C     19Z     Halogen Headlight -500.00     530     TPM (Tire Pressure Monitor) N/C     562     LED Auxiliary Lights N/C     5AB     Brake Light US N/C     5AD     Cruising Light N/C     ZP2     Premium Package 2 3,575.00              Net Total 24,220.00              Destination Charge 645.00              Total Suggested Price 24,865.00",BMW,"[{'label': '4 stars', 'score': 0.3115731179714203}]","[{'label': 'neutral', 'score': 0.9066426753997803}]"
"15,626 miles","$14,599 ",S,  2021 BMW Dual Sport,CALL HENRY 732-906-9292 X 1001,BMW,"[{'label': '5 stars', 'score': 0.26172903180122375}]","[{'label': 'neutral', 'score': 0.8587779402732849}]"
"2,900 miles","$11,500 ",F 900 XR,  2021 BMW Sport Touring,,BMW,,
38 miles,"$18,999 ",F 850 GS Adventure 40 Years GS,  2021 BMW Dual Sport,"Since 1980, GS has stood for unique motorcycles that are part of every adventure. We are celebrating this year with the ""40 Years GS"" edition. It is an homage to the history of the GS and invokes the unique look of the legendary R 100 GS while also utilizing the latest technology. A true F 850 GS Adventure with striking flyline and balanced GS ergonomics. With this bike, you can conquer new terrain, take on any adventure, be part of a unique community and live the #SpiritofGS.",BMW,"[{'label': '5 stars', 'score': 0.6319417953491211}]","[{'label': 'positive', 'score': 0.9602828025817871}]"
38 miles,"$18,999 ",F 850 GS Adventure 40 Years GS,  2021 BMW Dual Sport,"Since 1980, GS has stood for unique motorcycles that are part of every adventure. We are celebrating this year with the ""40 Years GS"" edition. It is an homage to the history of the GS and invokes the unique look of the legendary R 100 GS while also utilizing the latest technology. A true F 850 GS Adventure with striking flyline and balanced GS ergonomics. With this bike, you can conquer new terrain, take on any adventure, be part of a unique community and live the #SpiritofGS.",BMW,"[{'label': '5 stars', 'score': 0.6319417953491211}]","[{'label': 'positive', 'score': 0.9602828025817871}]"
"10,500 miles","$19,750 ",K 1600 GRAND AMERICA,  2019 BMW Sport Touring,,BMW,,
"10,698 miles","$12,500 ",S 1000 XR,  2019 BMW Sport Touring,,BMW,,
"58,698 miles","$6,999 ",R 1200 RT,  2016 BMW Touring,,BMW,,
"11,000 miles","$14,995 ",S 1000 RR Black Storm Metallic / Racing Red,  2016 BMW Sportbike,"The S 1000 RR revolutionized the supersports class when it first came out in 2009. Now it steps up to the very same challenge. The current S 1000 RR model has been completely revised: BMW Motorrad engineers have entirely revised the bike's technology, design and fittings. The result: in its origins a genuine Double R, on the road a new supersports machine.",BMW,"[{'label': '5 stars', 'score': 0.3203863501548767}]","[{'label': 'positive', 'score': 0.8566116094589233}]"
"12,046 miles","$11,000 ",K 1600 GT,  2014 BMW Cruiser,,BMW,,
"29,900 miles","$1,750 ",R 1150 RT,  2002 BMW Touring,,BMW,,
"22,000 miles","$2,700 ",K 100 RT,  1985 BMW Sport Touring,,BMW,,
11 miles,"$21,935 ",R1250GS 1250 GS,New 2023 BMW Sport Touring,,BMW,,
3 miles,"$23,700 ",S 1000 RR,New 2023 BMW Sportbike,,BMW,,
3 miles,"$29,290 ",R 18 Transcontinental,New 2023 BMW Touring,,BMW,,
243 miles,"$21,999 ",R 18 Transcontinental (DEMO),New 2022 BMW Cruiser,,BMW,,
558 miles,"$19,999 ",S 1000,  2022 BMW Dual Sport,CALL HENRY 732-906-9292 X 1001,BMW,"[{'label': '5 stars', 'score': 0.2622056305408478}]","[{'label': 'neutral', 'score': 0.8587779402732849}]"
10 miles,"$20,055 ",R1250R 1250 R,New 2022 BMW Standard,DEMO!!!,BMW,"[{'label': '1 star', 'score': 0.3522152602672577}]","[{'label': 'positive', 'score': 0.6785036325454712}]"
300 miles,"$15,123 ",R NINET URBAN G/S - EDITION 40 YEARS GS,  2021 BMW Dual Sport,,BMW,,
"3,600 miles","$23,000 ",S 1000 RR,  2021 BMW Sportbike,,BMW,,
"3,624 miles","$14,500 ",F 850 GSA 850 GS ADVENTURE,  2021 BMW Dual Sport,,BMW,,
"5,600 miles","$8,500 ",F900R 900 R,  2020 BMW Cruiser,"Cylinder guard, new tires, GPS mount.",BMW,"[{'label': '5 stars', 'score': 0.3170135021209717}]","[{'label': 'neutral', 'score': 0.8488983511924744}]"
"2,000 miles","$22,800 ",R 1000,  2020 BMW Super Moto,,BMW,,
876 miles,"$19,999 ",K 1600 GTL,  2018 BMW Touring,"2018 BMW K 1600 GTL,",BMW,"[{'label': '5 stars', 'score': 0.366129606962204}]","[{'label': 'neutral', 'score': 0.8671188354492188}]"
"12,958 miles","$14,999 ",S 1000 RR,  2018 BMW Sportbike,CALL HENRY 732-906-9292 X 1001,BMW,"[{'label': '5 stars', 'score': 0.27657508850097656}]","[{'label': 'neutral', 'score': 0.8587779402732849}]"
"40,000 miles","$19,500 ",K 1600 GTL,  2018 BMW Sport Touring,,BMW,,
"10,741 miles","$13,000 ",R 1200 RT,  2014 BMW Sport Touring,,BMW,,
"32,000 miles","$5,000 ",R 1100 S,  2000 BMW Sportbike,,BMW,,
7 miles,"$24,370 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,"Keyless Ride, Chrome Exhaust Pipe, Heated Grips, TPM, GPS Preparation, Cruise Control, Saddlebag Mounts for BMW Aluminum Side Cases, Cross Spoke Wheels, LED Auxiliary Lights, Gear Shift Assist, Brake Light US, Cruising Light.",BMW,"[{'label': '5 stars', 'score': 0.3968469500541687}]","[{'label': 'neutral', 'score': 0.8683722615242004}]"
282 miles,"$35,000 ",R 1250,  2021 BMW Sport Touring,.. 282 Miles Like New,BMW,"[{'label': '5 stars', 'score': 0.32696905732154846}]","[{'label': 'neutral', 'score': 0.8243380188941956}]"
"4,200 miles","$10,500 ",F 900 R,  2021 BMW Sport Touring,,BMW,,
"63,643 miles","$11,500 ",R1200RT,  2017 BMW Standard,"Extra brake light, extra driving lights, rear trunk, cylnder guards with foot rest, side bag guards.",BMW,"[{'label': '5 stars', 'score': 0.33589422702789307}]","[{'label': 'neutral', 'score': 0.8827171921730042}]"
"4,800 miles","$6,500 ",K 1200 S,  2007 BMW Sportbike,,BMW,,
"83,750 miles","$3,595 ",R1200RT,  2007 BMW Cruiser,"Has GPS, Tall Mirrors, Foot Rests, Well Maintained",BMW,"[{'label': '4 stars', 'score': 0.3772364854812622}]","[{'label': 'positive', 'score': 0.6654775738716125}]"
"45,000 miles","$5,000 ",K 1200 LT,  2005 BMW Sport Touring,,BMW,,
"55,193 miles","$3,999 ",R1150RT,  2003 BMW Standard,,BMW,,
"37,800 miles","$4,600 ",K 1200 RS,  2002 BMW Sport Touring,,BMW,,
,"$4,400 ",R 100 RT,  1983 BMW Classic / Vintage,,BMW,,
,"$6,000 ",R 75 /7,  1977 BMW Classic / Vintage,,BMW,,
7 miles,"$23,025 ",R1250GS 1250 GS,New 2023 BMW Dual Sport,Rally Package. Sport Suspension. Premium Package. Comfort Package. Touring Package. Dynamic Package.,BMW,"[{'label': '4 stars', 'score': 0.35446956753730774}]","[{'label': 'neutral', 'score': 0.9061318635940552}]"
302 miles,"$25,000 ",R 1250 RT,  2023 BMW Touring,,BMW,,
4 miles,"$12,590 ",F900R 900 R,New 2022 BMW Dual Sport,Premium Package,BMW,"[{'label': '5 stars', 'score': 0.3810034692287445}]","[{'label': 'neutral', 'score': 0.5009351968765259}]"
7 miles,"$24,515 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,Premium Light Package,BMW,"[{'label': '5 stars', 'score': 0.372368723154068}]","[{'label': 'neutral', 'score': 0.5946727395057678}]"
3 miles,"$5,945 ",G 310 GS,New 2022 BMW Standard,Order yours today,BMW,"[{'label': '5 stars', 'score': 0.40236690640449524}]","[{'label': 'neutral', 'score': 0.7928068041801453}]"
"6,000 miles","$11,990 ",S 1000 XR,  2016 BMW Dual Sport,,BMW,,
"38,623 miles","$6,950 ",R 1200 RT,  2009 BMW Sport Touring,,BMW,,
,"$4,500 ",R 1150 RT,  2004 BMW Sport Touring,,BMW,,
4 miles,"$24,370 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,Premium Light Package,BMW,"[{'label': '5 stars', 'score': 0.3695667088031769}]","[{'label': 'neutral', 'score': 0.5946727395057678}]"
4 miles,"$24,515 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,Premium Light Package,BMW,"[{'label': '5 stars', 'score': 0.36562979221343994}]","[{'label': 'neutral', 'score': 0.5946727395057678}]"
4 miles,"$24,315 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2022 BMW Dual Sport,Premium Light Package,BMW,"[{'label': '5 stars', 'score': 0.37588751316070557}]","[{'label': 'neutral', 'score': 0.5946727395057678}]"
"8,100 miles","$17,500 ",S 1000 RR,  2020 BMW Sportbike,,BMW,,
"3,624 miles","$10,500 ",F 750,  2019 BMW Dual Sport,,BMW,,
,"$12,000 ",K 1600 GTL,  2013 BMW Sport Touring,,BMW,,
,"$5,785 ",G 310 R,New 2023 BMW Standard,,BMW,,
1 miles,"$19,765 ",R1250 RS,New 2023 BMW Standard,,BMW,,
2 miles,"$28,175 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,,BMW,,
2 miles,"$11,940 ",Pure,New 2023 BMW Standard,,BMW,,
2 miles,"$13,030 ",R nineT Pure,New 2023 BMW Standard,,BMW,,
2 miles,"$13,470 ",CE 04,New 2023 BMW Scooter,"Premium, Comfort, and Dynamic packages. Ride Modes Pro, Adaptive Headlight, Backrest Comfort Seat, and Heated Grips!",BMW,"[{'label': '5 stars', 'score': 0.5316380262374878}]","[{'label': 'positive', 'score': 0.8106149435043335}]"
8 miles,"$24,750 ",R1250GS ADVENTURE 1250 GS ADVENTURE,New 2023 BMW Dual Sport,,BMW,,
3 miles,"$26,005 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,,BMW,,
4 miles,"$23,790 ",R1250GS LOW 1250 GS,New 2023 BMW Dual Sport,,BMW,,
4 miles,"$25,915 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,,BMW,,
,"$25,175 ",R1250GS ADVENTURE LOW 1250 GS ADVENTURE,New 2023 BMW Dual Sport,,BMW,,
,"$29,290 ",R18 TC BASE,New 2023 BMW Cruiser,,BMW,,
,"$22,860 ",R1250GS 1250 GS,New 2023 BMW Dual Sport,,BMW,,
,"$13,030 ",R nineT Pure,New 2023 BMW Standard,,BMW,,
,"$23,280 ",R1250 GS,New 2023 BMW Dual Sport,,BMW,,
2 miles,"$26,005 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,,BMW,,
4 miles,"$16,130 ",F 850 GS 850 GS ADVENTURE,New 2023 BMW Dual Sport,,BMW,,
4 miles,"$25,580 ",R 1250 GS Adventure GS Trophy,New 2023 BMW Standard,,BMW,,
4 miles,"$26,255 ",R 1250 GS Adventure GS Trophy,New 2023 BMW Standard,,BMW,,
,"$23,700 ",S1000RR,New 2023 BMW Sportbike,Premium Package,BMW,"[{'label': '4 stars', 'score': 0.27525824308395386}]","[{'label': 'neutral', 'score': 0.5009351968765259}]"
4 miles,"$27,065 ",R 1250 RT,New 2023 BMW Sport Touring,,BMW,,
,"$5,785 ",G 310 R,New 2023 BMW Standard,"Model 23G3  G 310 R USD 4,995.00   Color NA5   Racing Red N/C   Upholstery        N/C   Options 45A     Style Passion Package 195.00              Net Total 5,190.00              Destination Charge 595.00              Total Suggested Price 5,785.00",BMW,"[{'label': '3 stars', 'score': 0.23569424450397491}]","[{'label': 'neutral', 'score': 0.8955672383308411}]"
4 miles,"$26,690 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,,BMW,,
4 miles,"$28,590 ",K 1600 B,New 2022 BMW Touring,,BMW,,
,"$21,890 ",S1000 XR,New 2022 BMW Dual Sport,,BMW,,
,"$14,990 ",F900 XR,New 2022 BMW Standard,,BMW,,
,"$26,240 ",R18 B,New 2022 BMW Cruiser,,BMW,,
357 miles,"$37,000 ",M 1000 RR,  2022 BMW Competition,,BMW,,
17 miles,"$16,689 ",F 850 GS 850 GS ADVENTURE,New 2022 BMW Dual Sport,,BMW,,
,"$18,165 ",R1250 R,New 2022 BMW Standard,,BMW,,
33 miles,"$22,415 ",R 1250 GS Adventure,New 2022 BMW Dual Sport,,BMW,,
3 miles,"$12,700 ",F 900 R,New 2022 BMW Standard,,BMW,,
,"$6,440 ",G310GS 310 GS,New 2022 BMW Standard,,BMW,,
"14,000 miles","$13,500 ",S 1000 XR,  2018 BMW Sport Touring,,BMW,,
"18,008 miles","$6,900 ",R 1200 RT,  2006 BMW Sport Touring,,BMW,,
"57,000 miles","$3,500 ",K,  1987 BMW Classic / Vintage,,BMW,,
"2,369 miles","$13,995 ",R NINET URBAN G/S,  2022 BMW Standard,,BMW,,
,No Price Listed,S 1000 RR Black Storm Metallic,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: #NeverStopChallenging. Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. Thats why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind claiming the pole position over and over again.",BMW,"[{'label': '2 stars', 'score': 0.25266867876052856}]","[{'label': 'positive', 'score': 0.6509066820144653}]"
7 miles,No Price Listed,F 900 R Black Storm Metallic,New 2023 BMW Standard,"The pure and powerful design of the F 900 R simply demands to be challenged. This dynamic roadster gives you the opportunity to get your adrenaline racing. The F 900 R responds with precision and accuracy. This means that you can engage its power intuitively, as if translating your thoughts directly into riding pleasure. The F 900 R supports you with lightning technology and connectivity.",BMW,"[{'label': '5 stars', 'score': 0.4782651364803314}]","[{'label': 'positive', 'score': 0.9097867608070374}]"
"10,251 miles","$15,960 ",K 1600 GT Premium,  2016 BMW Touring,,BMW,,
"16,820 miles","$16,650 ",R 1200 GS Adventure Premium,  2016 BMW Dual Sport,,BMW,,
"18,094 miles","$13,499 ",K 1600 GT Premium,  2016 BMW Touring,,BMW,,
"39,077 miles","$2,490 ",K100 RT,  1985 BMW Cruiser,,BMW,,
"12,404 miles","$13,960 ",F 850 GS Adventure Premium,  2019 BMW Dual Sport,,BMW,,
"25,266 miles","$16,950 ",R 1200 GS Premium,  2018 BMW Dual Sport,,BMW,,
"38,982 miles","$11,950 ",K 1600 GTL Premium,  2013 BMW Touring,,BMW,,
"23,732 miles","$15,960 ",R 1200 GS Adventure Premium,  2016 BMW Dual Sport,,BMW,,
"27,806 miles","$12,960 ",K 1600 GT,  2014 BMW Touring,,BMW,,
"41,354 miles","$15,491 ",R 1200 GS Adventure Premium,  2018 BMW Dual Sport,,BMW,,
"29,640 miles","$10,950 ",K 1600 GT,  2012 BMW Touring,,BMW,,
"2,826 miles","$25,960 ",K 1600 GTL Black Premium,  2021 BMW Touring,,BMW,,
"13,817 miles","$22,950 ",K 1600 GTL Premium,  2019 BMW Touring,,BMW,,
"29,972 miles","$12,466 ",K 1600 GT,  2014 BMW Touring,,BMW,,
"5,807 miles","$7,950 ",F 700 GS,  2013 BMW Dual Sport,,BMW,,
"35,879 miles","$8,999 ",R 1200 GS,  2011 BMW Dual Sport,,BMW,,
"29,130 miles","$4,899 ",K 1200 LT,  2002 BMW Touring,,BMW,,
"9,044 miles","$18,950 ",K 1600 B Premium,  2019 BMW Touring,,BMW,,
"1,302 miles","$18,950 ",R 1200 GS Adventure Premium,  2018 BMW Dual Sport,,BMW,,
"14,839 miles","$16,650 ",R 1200 GS Adventure Premium,  2016 BMW Dual Sport,,BMW,,
"32,556 miles","$13,950 ",R 1200 GS Adventure Premium,  2015 BMW Dual Sport,,BMW,,
"25,379 miles","$16,990 ",K 1600 B Black Storm Metallic Premium,  2018 BMW Dual Sport,,BMW,,
"15,312 miles","$12,266 ",F 800 GS Adventure Premium Alpine White,  2016 BMW Dual Sport,,BMW,,
"57,783 miles","$15,523 ",K 16GL 1600 GTL,  2018 BMW Sport Touring,,BMW,,
"13,793 miles","$17,950 ",R 1200 GS Rally Premium,  2017 BMW Dual Sport,,BMW,,
"15,620 miles","$11,499 ",S 1000 XR Premium Racing Red,  2016 BMW Standard,,BMW,,
"15,620 miles","$11,499 ",S 1000 XR Premium Racing Red,  2016 BMW Standard,,BMW,,
"15,620 miles","$11,499 ",S 1000 XR Premium Racing Red,  2016 BMW Standard,,BMW,,
"3,536 miles","$11,950 ",R nineT Scrambler,  2019 BMW Sportbike,,BMW,,
"41,279 miles","$10,997 ",K 1600 GT Premium,  2013 BMW Touring,,BMW,,
"5,571 miles","$23,860 ",R 1250 GS Adventure Rally,  2022 BMW Dual Sport,,BMW,,
"9,003 miles","$17,966 ",K 1600 B Premium,  2018 BMW Sport Touring,,BMW,,
892 miles,"$13,777 ",R 18 First Edition,  2021 BMW Cruiser,,BMW,,
673 miles,"$13,777 ",R 18 First Edition,  2021 BMW Cruiser,,BMW,,
480 miles,"$20,150 ",R 1200 GS Adventure Premium,  2017 BMW Dual Sport,,BMW,,
11 miles,"$19,215 ",R nineT 719 Night Black Matte/Aluminum Matte BASE,New 2023 BMW Cruiser,"Thoroughly reduced. And yet entirely present. The BMW R nineT. The classic roadster embodies the passion and innovation of over 90 years of motorcycle design, with high-quality materials and careful workmanship in the smallest detail. Its iconic boxer engine now blends in even better with the original proportions. And lets you power over the asphalt with its improved torque curve. Countless individualization options mean no limits when it comes to your self-realization. Become part of the #Soulfuel community and show who you really are with your R nineT.",BMW,"[{'label': '2 stars', 'score': 0.2709343731403351}]","[{'label': 'positive', 'score': 0.9069100022315979}]"
"3,126 miles","$17,995 ",K 1600 GTL,  2018 BMW Touring,,BMW,,
"7,545 miles","$12,900 ",S1000 R Sport Dynamic Pro,  2018 BMW Sportbike,2,BMW,"[{'label': '5 stars', 'score': 0.2635757327079773}]","[{'label': 'positive', 'score': 0.4686386287212372}]"
"18,769 miles","$4,499 ",K 75 C,  1986 BMW Classic / Vintage,"ONLY 18,769 original miles!",BMW,"[{'label': '1 star', 'score': 0.26315224170684814}]","[{'label': 'neutral', 'score': 0.7629477977752686}]"
"1,756 miles","$9,450 ",F 700 GS,  2017 BMW Dual Sport,,BMW,,
3 miles,"$23,666 ",R 1250 GS Rallye,  2023 BMW Dual Sport,,BMW,,
5 miles,"$22,195 ",R18 CLASSIC,New 2022 BMW Touring,,BMW,,
241 miles,"$13,999 ",F 850 GS 850 GS ADVENTURE,  2021 BMW Standard,ADVENTURE IN THE BLOOD,BMW,"[{'label': '5 stars', 'score': 0.35370519757270813}]","[{'label': 'neutral', 'score': 0.6600234508514404}]"
258 miles,"$58,888 ",HP4 RACE,  2018 BMW Sportbike,,BMW,,
308 miles,"$29,995 ",S 1000 RR Light White/M Motorsport,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: #NeverStopChallenging. Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. Thats why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind claiming the pole position over and over again.",BMW,"[{'label': '4 stars', 'score': 0.278788685798645}]","[{'label': 'positive', 'score': 0.6509066820144653}]"
,"$28,585 ",R 18 TRANSCONTINENTAL,New 2022 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrads tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic",BMW,"[{'label': '5 stars', 'score': 0.5929091572761536}]","[{'label': 'positive', 'score': 0.9070775508880615}]"
9 miles,"$18,065 ",S1000R,New 2022 BMW Sportbike,Option Information,BMW,"[{'label': '4 stars', 'score': 0.28598394989967346}]","[{'label': 'neutral', 'score': 0.8495984673500061}]"
"23,393 miles","$11,886 ",K 1600 GTL Premium Black Storm Metallic,  2016 BMW Touring,"When luxury is freed of constraint, it moves to a new level. At the very top of this evolution is the K 1600 GTL a high-class touring bike like none before it. With the most compact and efficient in-line 6-cylinder engine ever installed in a series production motorcycle.",BMW,"[{'label': '5 stars', 'score': 0.5356287956237793}]","[{'label': 'positive', 'score': 0.9260815978050232}]"
,"$28,080 ",R 18 TRANSCONTINENTAL,New 2023 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrads tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic",BMW,"[{'label': '5 stars', 'score': 0.5858544707298279}]","[{'label': 'positive', 'score': 0.9070775508880615}]"
"4,985 miles","$7,999 ",F 900 R,  2021 BMW Sportbike,"The BMW F 900 R.;;Dynamic, progressive, intuitive.;;The pure and powerful design of the F 900 R simply demands to be challenged. This dynamic roadster gives you the opportunity to get your adrenaline racing. The F 900 R responds with precision and accuracy. This means that you can engage its power intuitively, as if translating your thoughts directly into riding pleasure. The F 900 R supports you with lightning technology and connectivity.;;Climb on, get going, #NeverStopChallenging.",BMW,"[{'label': '5 stars', 'score': 0.6073160171508789}]","[{'label': 'positive', 'score': 0.9138226509094238}]"
,"$30,470 ",R 18 TRANSCONTINENTAL,New 2023 BMW Standard,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrads tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic",BMW,"[{'label': '5 stars', 'score': 0.588869035243988}]","[{'label': 'positive', 'score': 0.9070775508880615}]"
7 miles,"$29,970 ",R 18 TRANSCONTINENTAL,New 2023 BMW Touring,"This 2023 BMW R 18 Transcontinental touring motorcycle in Option 719 Mineral White Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:Color H0A Option 719 Mineral White Metallic 1,895.00Options ZPP Premium Package 2,250.00134 Adaptive Headlight N/C17C Locking Fuel Filler Cap N/C204 Hill Start Control N/C219 Headlight Pro N/C417 Central Locking System N/C530 TPM (Tire Pressure Monitor) N/C5DF Active Cruise Control N/C603 Anti Theft Alarm System N/C64B Marshall Gold Series Stage 2 N/C317 Option 719 Seat 445.0035C Design Package Black 195.00376 Radio Software N/C568 Black Engine N/C5AB Brake Light US N/C77M Wheel Black Contrast Cut 295.00",BMW,"[{'label': '4 stars', 'score': 0.3346201479434967}]","[{'label': 'neutral', 'score': 0.9035654067993164}]"
