mileage,price,Bike name,Types and Used  Time,description
384 miles,"$7,995 ",Bolt,  2019 Yamaha Cruiser,"2019 Yamaha Bolt, Super cool Bolt. Under 500 miles with added taller bars, Vance & Hines intake, and TBR exhaust. Just in, has not been serviced yet. www.bobzbikz.com   Motorcycle Dealer Motorcycle Service & Repair Motorcycle Tire Mount & Balance 620-532-2400"
"8,123 miles","$7,499 ",FZ-09,  2016 Yamaha Sportbike,
"16,000 miles","$8,000 ",Yzf R1,  2011 Yamaha Sportbike,"Clean 2011 Yamaha R1 Raven with roughly 16k miles. Oil change and coolant flush at 11,100 milesOil change at 13,025 miles - 04/13/2022Oil change at 14,854 miles - 10/18/2022-Toce exhaust (pops and burbles!)-Dyno Jet Power V Commander and Tune-Aftermarket tail light with signals-Carbon fiber under tail fairing-CRG shorty levers -LED headlights-Fender eliminator with LED plate lights-K&N Performance Air FilterThis bike has never been ridden in the rain or dropped since buying it at 10,300 miles and is wiped down after every ride. Always garage kept and kept on battery tinder. Texas blue title in hand, two keys included. Cash in hand for test rides. No low ballers. Reasonable offers will be considered. Price is already 1k under blue book value and ridiculous offers will be ignored.Serious inquires only - More pictures available via text for serious inquires.Text - nine 7 two 8 two four four 8 nine 8"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7, Cool New Arrival. FOR SALE! #YamahaPowersports #YamahaLetsRide #CapitalPowersports. Prices do not include state sales tax, vehicle tag/title/registration fees, dealer documentation fee, factory freight or surcharges, or dealer set-up costs if they apply to this vehicle. Contact our sales dept for more detail. MSRP (Manufacturer’s Suggested Retail Price) price includes any factory incentives applicable at time of sale. Note: Sales Team can let you know about availability if this unit gets sold or potential option. 95% of all vehicles are pre-selling before arrival! Zero down / low down finance available on approved credit. We have a new state of the Art Service Dept using certified Platinum, Gold, & Silver level powersport technicians for diagnostic, repair, new unit assembly & prep., and inspection facility. All units are inspected by a certified technician before sale. Model availability, pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Extended protection plans, Pre-Paid Maintenance plans, Gap, Tire & Wheel, Theft, available on all new vehicles as applicable. Note: For the most accurate information on our vehicles for sale and our great deals go to our website at www.capitalpowersports.com or contact our Sales Team at 919-719-0700 direct for all the details. We are not responsible for incorrect pricing or availability information if you have found this unit on search engine site that is not connected to us directly or the vehicle in store has had a change in factory incentives that are not reflected in this add. Se habla espanol! We buy and take in on trade Motorcycles, Personal Watercraft, ATV’s, & UTV’s! Find us on Facebook and Instagram too! info@capitalhps.com[Update: Since early 2020 when the pandemic began, and the subsequent production, supplier, and logistical challenges in transportation, continually increasing in both Freight and Surcharges, along with the higher fuel cost continue to make it challenging for all dealers in pricing. Freight and Surcharges continue to change so we recommend direct contact with our internet sales or on location sales staff to get the current exact cost information. We apologize for these continued cost increases. We NEVER charge more than what the factory charges us to our customers. You can view the current information via each manufacture website under model details.]"
,"$15,500 ",VMAX 1700,  2010 Yamaha Cruiser,"Don't miss out on this gem! Want to be the talk of all your riding pals and destroy 131 Harley's, sports cars and sportbikes? Look no further! No trades. Cash only. Call or text (336)-471-8590 No calls or texts after 11PMNO SCAM CALLS OR TEXTS! Please read entire add for details. 2010 Yamaha Vmax 1700 V4 with 9,500 milesin showroom Condition. Miles will go up as the weather permits. Clean clear NC title. Garage kept its entire life. Meticulously maintained and detailed. Up to date on all services. New Bridgestone tires. Upgraded heavier clutch spring. Dual VooDoo exhausts. ECU flash, passenger back rest, air box mod. Needs absolutely nothing! It's a absolute blast in the mountains! Very comfortable riding position, and a overwhelming amount of power! Small scratch on intake cover from first owner from winter storing in garage. hardly noticeable. No other scratches, dints or dings. runs and rides like new and looks new, it gets loads of attention everywhere it goes! It has asphalt buckling acceleration at 210HP to the wheel and is extremely fast, it's not to be taken lightly, It takes 1.9 seconds 0-60! It is unmatched by any other motorcycle in its class to this day! $15,500 cash only, not desperate to sell. Due to the overwhelming amount of emails coming in, please call and leave a voicemail or text 336-471-8590 Thank you, have a great day! NO SCAMS!"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7, 2023 Yamaha YZF-R7 / STOCK # YN5845"
"4,000 miles","$22,000 ",YZF R1M,  2015 Yamaha Sportbike,"For sale. Clean, fast, ready to race R1M. New 2016 crate motor with one practice day and one race(2nd place). I'm officially retired from racing and track days. Time to sell some toys. This could be made street legal with some shopping on Ebay for the few missing pieces. OEM tail and light in place and simply taped over. Check pictures for all the mods. Original owner. Over $50k invested."
"9,715 miles","$14,000 ",YZF R6,  2017 Yamaha Sportbike,"Custom, built with love! This 2017 Yamaha R6 has always been properly maintained, clean title on hand, and has all necessary aftermarket parts to bring this bike to it's full potential. Both cosmetic and performance, this Black Marble wrapped beauty will keep you smiling. * Switched to GP Shift- Willing to switch back to standard upon request if you are a serious buyer. I am selling it becuase I would like to move on to a bigger bike. I love this bike and I will always miss it. It's just time for the next one. When comparing this bike in stock form to now, it is a completely different bike. There is no lack of power in the lower RPM range, thanks to the ECU Flash. It has 3 riding modes, and many traction control options, along with ABS. Aftermaket parts listed below:-Full System Exhaust, S1R 3K Two Brothers Racing-Pirelli Diablo Supercorsa V2 (F+R)Tires-Bauce Racing ECU Flash-BMC Race Air Filter-TST Smog Block Off Plates-JL Designs Smoked Tail Light w/ Integrated Turn Signals-TST Fender Eliminator(Adjustable)-Rear seat cover cowl(rear seat will be includeed)-OES Frame Sliders-CRG RC2 Shorty Levers-3M Black Marble Wrap by AP Graphics-GB Racing Crank Case Cover-Mirror Block Offs-NRC (Stock Mirrors Included Upon Request)-(Descrete) NRC Front Turn Signals-Dark Smoked Windscreen-Zero Gravity-Professionally Gloss Black Powdercoated Rims by Action Powdercoat Long Island**New F+R wheel bearings installed by LI Kawaski-Yamaha Dealership**-100% Carbon Fiber Front Fender, and Tank Cover from MotocompositesUpon installation of major components such as the exhaust, the AIS system and the servo motor have been removed. They are not needed due to the parts placed onto this bike, and they help shed some weight as well.*Never had any issues with this bike. Fluids are clean and filled properly. Chain has been adjusted to correct tension, kept clean, and well lubricated. Oil was changed at around 6,000 miles. New Pirelli Tires were installed at 8,500 miles. Brake Fuild was flushed and refilled at 8,500 miles. This bike has been tracked twice, during the 2nd time it went down in the rain on a slow soft landing low side. The Frame Sliders caught all of the damge expept for the the crankcase cover. This is why the GB Racing cover is there. Other than the slight damge on the frame sliders and the crankcase cover, there are no other ailments. I finished that track day, and conitnue to ride freely on the street and this bike performs magically."
"8,303 miles","$5,999 ",V Star 950 Tourer,  2012 Yamaha Touring,"2012 Yamaha V Star 950 Tourer, * PLEASE STOP ON IN AND TAKE A PEEK AT THIS VERY RARE YAMAHA V-STAR 950 WITH ONLY 8000 ORIGINAL MILES ON HER! HURRY!!!Looking to upgrade your bike today? We take trade ins year round! Cars and Trucks are always welcome on trade. At RC Hill Honda of Deland, ALL 2003 AND NEWER   STREET BIKES and SCOOTERS (except BMW) FALL UNDER THE RC HILL CERTIFIED   MOTORCYCLE PROGRAM AND COME WITH A FREE SIX MONTH NATIONWIDE LIMITED WARRANTY. At RC Hill Honda of DeLand, we use MARKET BASED PRICING to make sure our customers are getting the best values in the market, and our market is the entire state of Florida. You may not believe this, but...the local, state and national governments do not care about treating you as well as we do. They actually require us to collect tax, title, license, and other fees. Can you believe the nerve??? We try to make up for them by offering our customers the best prices in Florida. Out of state pricing may vary and will be assessed a convenience fee of $189.00 for title processing, tag work and fed-ex shipping of paperwork. *ALL UNITS ARE STILL AVAILABLE UNLESS THEY SAY “SOLD” ON OUR WEBSITE* Bank drafts are not accepted. Credit card payments will have a surcharge fee of 3.5% added on anything over $1000.00, With a max of $4000 allowed on a credit card. We do not accept personal checks for Motorcycles. Some pictures may have optional items on them. Not all   bikes have spare keys or owners manuals. If you are purchasing a   bike we STRONGLY advise you to come look at it in person. We are a no-pressure dealership, but please keep in mind that every bike in our store is available and for sale unless you leave a deposit on it, so if you really want this bike, the only way we can hold it for you is with a CA$H deposit. All deposits are NON-REFUNDABLE so make sure you want this bike and have the money to pay for it. We reserve the right to not sell any of our products to mean, nasty or rude people. We do not sell any products to other dealers etc. Must add tax, tag and dealer admin fees.*  2012 Yamaha V Star 1300"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, 2022 Yamaha Tracer 9 GT"
,"$8,999 ",YZF R7,  2022 Yamaha Sportbike,"This 2022 Yamaha R7 is a pristine motorcycle, ridden less than a dozen times over the summer and never in the rain. With a powerful 689cc twin-cylinder engine and exceptional handling, this bike delivers a thrilling ride that's perfect for motorcycle enthusiasts of all skill levels. It's in perfect condition having never been dropped or down and ready to hit the road, but unfortunately, it's not comfortable for me and my wife to ride together. If you're looking for a bike that's in top condition and ready to take you on the ride of a lifetime, the Yamaha R7 is the bike for you!"
556 miles,"$4,495 ",XT250,  2021 Yamaha Standard,"2021 Yamaha XT250, * PLEASE STOP ON IN AND TAKE A PEEK AT THIS YAMAHA XT250 WITH ONLY 500 ORIGINAL MILES ON HER! HURRY AS SHE WILL SELL QUICK!Looking to upgrade your bike today? We take trade ins year round! Cars and Trucks are always welcome on trade. At RC Hill Honda of Deland, ALL 2003 AND NEWER   STREET BIKES and SCOOTERS (except BMW) FALL UNDER THE RC HILL CERTIFIED   MOTORCYCLE PROGRAM AND COME WITH A FREE SIX MONTH NATIONWIDE LIMITED WARRANTY. At RC Hill Honda of DeLand, we use MARKET BASED PRICING to make sure our customers are getting the best values in the market, and our market is the entire state of Florida. You may not believe this, but...the local, state and national governments do not care about treating you as well as we do. They actually require us to collect tax, title, license, and other fees. Can you believe the nerve??? We try to make up for them by offering our customers the best prices in Florida. Out of state pricing may vary and will be assessed a convenience fee of $189.00 for title processing, tag work and fed-ex shipping of paperwork. *ALL UNITS ARE STILL AVAILABLE UNLESS THEY SAY “SOLD” ON OUR WEBSITE* Bank drafts are not accepted. Credit card payments will have a surcharge fee of 3.5% added on anything over $1000.00, With a max of $4000 allowed on a credit card. We do not accept personal checks for Motorcycles. Some pictures may have optional items on them. Not all   bikes have spare keys or owners manuals. If you are purchasing a   bike we STRONGLY advise you to come look at it in person. We are a no-pressure dealership, but please keep in mind that every bike in our store is available and for sale unless you leave a deposit on it, so if you really want this bike, the only way we can hold it for you is with a CA$H deposit. All deposits are NON-REFUNDABLE so make sure you want this bike and have the money to pay for it. We reserve the right to not sell any of our products to mean, nasty or rude people. We do not sell any products to other dealers. Must add tax, tag and dealer admin fees.*  2021 Yamaha XT250"
"3,750 miles","$7,990 ",XSR700,  2018 Yamaha Sportbike,
"5,036 miles","$6,800 ",RAIDER 1900,  2008 Yamaha Cruiser,"2008 Yamaha XV1900 Raider Original Owner Stored Climate Controlled Garage Mileage 5036Yamaha XV1900 Custom Raider you are looking at a new generation of custom cruisers. A breed that stands apart. Check out the incredible attention to detail. From front to back, the all new XV1900 is loaded with “custom” inspired parts. Stretched out fork, fat rear tire, low seat and an aggressive, slammed riding position. The new XV1900 not only looks good… it offers an incredible riding experience too. A whole new kind of Star, a bike we like to call a modern performance custom. Chopper-inspired but built to perform. Good luck outdoing this bike’s combination of looks, performance and Star build quality. When the engineers at Yamaha set out to produce a true custom machine, the easy part was the styling and attention to detail. The trick was to combine this awesome “chopper” inspired styling with a chassis that would offer superior handling. The engineers at Yamaha were not willing to compromise. The new XV1900 must deliver great handling and excellent ride quality. Discover the superior quality, styling and all round performance of the new XV1900.High-performance, 1854cc (113 cubic inch) air-cooled, long-stroke, OHV, 4 valves per cylinder, 48°, V-twin power plant produces massive torque and class leading acceleration from very low rpms. Added Accessories and Performance cost $6,500.00 + Custom SRV – Stevie Ray Vaughan Speedo Face Custom SRV – Stevie Ray Vaughan Dash CoverCustom SRV – Stevie Ray Vaughan Fender PadRear Fender RackRoland Sands Design Speed 5 Venturi Air Cleaner Hides CoilsVance & Hines exhaust Big Radius 2 into 1Mortons Frame CoverDynojet Power CommanderPacific Coast Star Lowering KitBarons Shorty Kickstand Raider Progressive Rear Spring Metzeler 120/70/21 240/40/18Custom Profile Front Fender with Custom Brackets Pacific Coast Star Ostrich Potato Chip SeatBoulevard WindscreenLow and Mean Chin FairingIntegrated LED TaillightRadiantz LED License Frame Chrome Engine Guard Chrome Xcaliber Shift LinkageKuryakyn Flame Tube Accents Kuryakyn Tappet Block CoversKuryakyn ISO Flame Grips Kuryakyn ISO Throttle BossKuryakyn Flaming Switchblade PegsKuryakyn Rear Foot peg Adapter & PegsKuryakyn Scythe MirrorsChrome covers – pulley, clutch, starter, ignition, generator, cam, primary drive cover, swing arm pivot covers, front axle, Chrome Upper Belt Guard, Shift peg covers Various Bolt and Nut CoversCustom key Star Bike Cover Service Manual"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$5,499 ",YZF-R3,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R3,    Top Features  Engine Features"
,"$5,499 ",YZF-R3 ABS,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R3 ABS,    Top Features  Engine Features"
,"$5,499 ",YZF-R3,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R3,    Top Features  Engine Features"
,"$8,599 ",YZF-R7 CA,New 2022 Yamaha Sportbike,"2022 YAMAHA YZF-R7 CA,    Engine Features  Chassis/Suspension Features"
"35,295 miles","$16,900 ",YZF R1M,  2016 Yamaha Sportbike,1. 2. 3. 4. 5. 6. 7. 8. 9. 10.11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22.23. 24. 25. 26. 27. 28. 29.30.
,"$3,799 ",Zuma 125,New 2023 Yamaha Moped,"2023 YAMAHA Zuma 125,    Top Features  Engine Features"
,"$7,199 ",YZ125 Monster Energy Yamaha Racing Edition,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ125 Monster Energy Yamaha Racing Edition,   2023 Yamaha YZ125 Monster Energy Yamaha Racing Edition for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 7.99% APR for 60 months credit approval. Other options available. Contact us to apply."
1 miles,"$13,599 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT,    2022 Yamaha Tracer 9 GT"
"6,512 miles","$7,500 ",FJ-09,  2015 Yamaha Sport Touring,"Very exciting bike. This super sport touring bike is a blast to ride and handles the road like a boss. Extremely fast and nimble. Comes with 2 windshields (large and standard), tail bag and saddle bags for your multi day journeys. Bike has been very well taken care of and being sold to transition to something more comfortably suited for 2. Bought from the original owner and have enjoyed since 2017. Includes some very practical features such as 6 speed transmission, 3 performance settings for the chip controlled throttle, traction control system, antilock front brakes and led light components. Tires are in good shape and have at least a season left in them. Battery has always been kept on a battery tender. Don't let the year fool you. This bike is clean, modern, fun and a blast to ride on both urban streets and the mountains."
"26,945 miles","$4,500 ",FZ1,  2006 Yamaha Sportbike,Yamaha genuine option tall fairing installed at new. The original fairing included.
1 miles,"$12,999 ",MT-10,New 2022 Yamaha Sportbike,
"6,219 miles","$11,981 ",MT-10,  2020 Yamaha Sportbike,"2020 Yamaha MT-10 , This is a 2020 YAMAHA MT-10 with 6219 miles- This Bike is a new arrival going thru service and detail. Once that is complete, We will have over 30 pictures of this bike on line for your inspection. We can also text Video to you, at your request. Need Financing? We've got you covered. Click on the finance tab and fill out the secure on line credit application. Need Transport? We can get you an estimate from companies that have proven reliable over time. We sell bikes all over the USA. Google Hoppers Cycles to see over 150 Reviews from people that have done business with us! **Don't forget that this bike and most of our bikes come with a free 3 month Powertrain Warranty** Call 214-385-4104 with any questions anytime!"
"8,929 miles","$14,999 ",YZF R6,  2019 Yamaha Sportbike,"2019 Yamaha YZF R6, Maali Motorsports is proud to present this 2019 Yamaha YZF-R6Upgrades - Full Graves Titanium Exhaust Tail Tidy Kit Brembo RCS 17 Master Cylinder ASV Clutch Lever Tank Pads GB Racing Cover  2019 Yamaha YZF-R6"
"4,200 miles","$7,799 ",MT-07,  2019 Yamaha Standard,"2019 Yamaha MT-07, 2019 Yamaha MT-07"
"31,756 miles","$8,150 ",V STAR 1300 DELUXE,  2015 Yamaha Cruiser,"2015 YAMAHA V STAR 1300 DELUXE, The 2015 Yamaha V-Star 1300 Deluxe is a stylish and comfortable cruiser motorcycle that offers a smooth and powerful ride. This particular bike has been well-maintained and has 31,756 miles on the odometer. It has undergone a thorough inspection and certification process to become a Certified Pre-Owned motorcycle, giving you the confidence that it has been carefully checked for any potential issues. The V-Star 1300 Deluxe is equipped with a 1304cc V-twin engine that delivers impressive performance and a satisfying sound. It features a 5-speed transmission, belt drive, and hydraulic disc brakes for smooth and reliable stopping power. The bike also has a comfortable seat, adjustable windshield, and hard saddlebags for added convenience and storage. As a Certified Pre-Owned motorcycle, this 2015 Yamaha V-Star 1300 Deluxe comes with a limited warranty for added peace of mind. Financing options are available for qualified buyers, making it easier to get on the road and enjoy this fantastic bike. This particular bike is being offered at a reduced price as part of a general manager special, providing an excellent value for anyone looking for a well-maintained cruiser motorcycle. Don't miss the chance to own this impressive 2015 Yamaha V-Star 1300 Deluxe and experience the thrill of cruising on two wheels. - OEM Color = Black Metallic X - Category = Cruiser - Engine Displacement = 1304cc, (80ci) liquid-cooled, short stroke, SOHC - This bike passed a 78 point inspection by our factory trained techs. We changed the engine oil and filter, replaced the rear tire and horn, and added a battery tender. - Notes: there are blemishes on the bike. Please see the photos. - Actual Mileage = 31,756 mi - Clean Title - Number of Keys = 1 - Number of Fobs = NA - Nationwide and International Shipping are Available. - Financing is Available from over a dozen banks, credit unions, and lease companies. - We love trade-ins anything with a VIN. - We also buy vehicles outright even if you don t buy from us. - Conveniently located at 1839 Airport Freeway Bedford, TX 76021 in the heart of the Dallas / Fort Worth Metroplex and only a few minutes from DFW airport. - We are open in-store Tuesday through Saturday from 9a-6p Central Time. - If you would like to speak with a team member for more info we can be reached via phone at 817-283-1650. - If you would prefer to text for more info we can be reached via text at 817-587-8094 -All Certified Pre-Owned motorcycles at Lucky Penny Cycles include a 90-day/1000-mile powertrain warranty. -Certified Pre-Owned motorcycles also qualify for additional coverage at a reduced rate."
"54,342 miles","$4,995 ",ROAD STAR,  2004 Yamaha Cruiser,"2004 YAMAHA ROAD STAR, - OEM Color = Bluish White Cocktail - Category = Cruiser - Engine Displacement = 102-cubic-inch (1670cc) air-cooled 48° V-twin - This Road Star has Kuryakyn grips, a Mustang seat with rider s backrest, a padded sissy bar/luggage rack combo, a mustache engine guard, a hi-flow air cleaner, and Vance and Hines pipes. - This bike passed a 78 point inspection by our factory trained techs. We changed the engine oil and filter and replaced the rear tire, front brake pads, fork seals, and battery. - Notes: there are blemishes on the bike. Please see the photos. - Actual Mileage = 54,342 mi - Clean Title - Number of Keys = 1 - Number of Fobs = NA - Nationwide and International Shipping is Available. - Financing Available from over a dozen banks, credit unions, and lease companies. - We want your trade in anything with a VIN. - We also buy vehicles outright even if you don t buy from us. - Conveniently located at 1839 Airport Freeway Bedford, TX 76021 in the heart of the Dallas / Fort Worth Metroplex and only a few minutes from DFW airport. - We are open in-store Monday through Saturday from 10am-6pm Central Time. - If you would like to speak with a team member for more info we can be reached via phone at 817-283-1650. - If you would prefer to text for more info we can be reached via text at 817-799-6353."
,"$9,799 ",MT-09,New 2023 Yamaha Standard,"2023 YAMAHA MT-09,    Top Features"
1 miles,"$10,649 ",MT-09,New 2023 Yamaha Standard,"2023 YAMAHA MT-09,    Top Features"
1 miles,"$5,949 ",MT-03,New 2023 Yamaha Standard,"2023 YAMAHA MT-03,    Top Features  Engine Features"
,"$9,799 ",MT-09,New 2023 Yamaha Standard,"2023 YAMAHA MT-09,    Top Features"
,"$3,799 ",ZUMA 125,New 2023 Yamaha Moped,"2023 YAMAHA ZUMA 125, M.S.R.P. / Retail is $3,799.00 (Contact us for current model year promotions) New/un  units include a full factory warranty and are eligible for all current promotions. Prices shown may not reflect freight, vehicle preparation, or commodity/freight surcharge. All rebates to the dealer. Posted price does not include tax/ license/ document fees. Actual location of vehicles may vary. See dealership for more information. ;;We have two locations! ;For West Metro customers - Saint Bonifacius off of Highway 7 and Steiner St. (www.StBoniMotorSports.com or call 952-446-1554);For Greater Minneapolis area customers - 394 and Louisiana Ave ;(www.MinneapolisMotorSports.com or call 763-634-0244)   Top Features"
,"$3,799 ",Zuma 125,New 2023 Yamaha Moped,"2023 YAMAHA Zuma 125, Just arrived. Price does not include factory destination or set up   Top Features  Engine Features"
,"$15,849 ",Tracer 9 GT,New 2022 Yamaha Sport Touring,"2022 YAMAHA Tracer 9 GT,    Top Features"
"1,207 miles","$10,690 ",R7,  2022 Yamaha Sportbike,"2022 YAMAHA R7, PERFECT CONDITION ALL STOCK 2022 YAMAHA R7. 60 YEAR WORLD GP CHAMPIONSHIP ANNIVERSARY EDITION . ONLY 1000 MILES. THIS BIKE IS LIKE NEW! GET THIS ONE WHILE ITS STILL AVAILABLE. CALL OR EMAIL FOR MORE DETAILS. FINANCING IS AVAILABLE. TRADES WELCOME. SOLD WITH OUR WORRY FREE 30 DAY FULL SERVICE WARRANTY. SHIPPING IS AVAILABLE TO ANYWHERE IN THE CONTINENTAL UNITED STATES FOR $899 OR LESS* ..... $$ WE PAY CASH FOR BIKES $$ call now for a instant quote on your motorcycle. We come to you and take the hassle out of selling."
15 miles,"$7,995 ",YZ450FX,  2019 Yamaha Dirt Bike,"Same DNA as the class-leading YZ450F, with a bigger fuel tank, electric start and power tuner smartphone app that lets you adjust your bike's settings to your specific style and conditions."
827 miles,"$8,995 ",BOLT C-SPEC,  2016 Yamaha Cruiser,
"46,149 miles","$11,299 ",FJR1300ES 1300 ES,  2015 Yamaha Sportbike,
