mileage,price,bike,Types ,description
2 miles,"$3,995 ",Classic 350 Chrome Bronze,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Bronze, ""NATIONWIDE SHIPPING AVAILABLE"" ""NATIONWIDE FINANCING AVAILABLE"" ""CLICK ON INSTANT APPROVAL FOR ALL FINANCING OPTIONS""   2022 Royal Enfield Classic 350 Chrome Bronze"
,"$4,799 ",Classic 350,New 2023 Royal Enfield Cruiser,"Through historical references, stories and anecdotes shared by our key collaborators, we would like to take you on a wistful trip down memory lane to live the legacy of the Timeless Classic - from its inception, captured in a monochromatic photograph of the G2 Model, to the journey it took to becoming the most loved motorcycle across the globe."
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411, The Scram 411 was created by mixing genuine adventurer capability with scrambler playfulness and accessibility. Details like the urban badge plate, an offset speedo, a scrambler seat and 7 high energy colorways tell you that this is no ordinary motorcycle. This is the Scram 411. They are perfectly priced to offer a fun, easy to ride experience without having to take out a second mortgage. Proud to be Southern AZ’s newest Royal Enfield Dealer, CSA is excited to bring these awesome motorcycles to Tucson. We carry all the current models: INT & Continental GT 650's, Meteor & Classic 350's, and the Himalayan & Scram 411's. Don't spend hours on end repairing your old bike, we love trade-ins. Bring down your valuables and lower the out the door price on your new bike. You can get the ball rolling by filling out a credit app on our secure website. We will work with you and your situation to insure you get the bike you want. We look forward to working with you!   Features"
1 miles,"$4,199 ",Hunter 350 Rebel Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Hunter 350 Rebel Red,    Features"
3 miles,"$4,799 ",Classic 350 Chrome Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Red, New 2023 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports"
,"$5,872 ",HIMALAYAN - ROCK RED,New 2022 Royal Enfield Standard,
,"$4,699 ",Classic 350,New 2022 Royal Enfield Cruiser,
,"$4,699 ",Classic 350,New 2022 Royal Enfield Cruiser,
,"$4,999 ",HIMALAYAN,New 2021 Royal Enfield Standard,"2021 Royal Enfield HIMALAYAN, NOW AVAILABLE IN MOUNT VERNON, OH 43050! . ;.;GET A GREAT DEAL FROM MID-OHIO POWERSPORTS ON THIS HIMALAYAN ADVENTURE BIKE IN GRAVEL GREY!;.;MSRP $4999 PLUS $430 FREIGHT, $229 DOC FEE, TAX AND TITLE. ;.;COMPETITIVE PRICING AND NO PREP CHARGES. .;.;YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS! . ;.   Features  Engine"
"4,041 miles","$3,650 ",HIMALAYAN BASE,Used 2021 Royal Enfield Dual Sport,"SALE PENDINGVery nice Lake Blue Himalayan EFI ABS with quick release Shad SH23 locking side bags.New dual sport tires.Low miles.Clean CA Title in hand.I will allow a test ride with valid license and proof of insurance.This is a fun bike for commuting or exploring fire roads.Single Cylinder, 4 Stroke, SOHC, Air Cooled411cc5 SpeedElectric StartSeat Height: 31.5Curb Weight: 4394 Gal Fuel CapacityMPG: ~60-70"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,
,"$4,799 ",Classic 350,New 2023 Royal Enfield Cruiser,"Through historical references, stories and anecdotes shared by our key collaborators, we would like to take you on a wistful trip down memory lane to live the legacy of the Timeless Classic - from its inception, captured in a monochromatic photograph of the G2 Model, to the journey it took to becoming the most loved motorcycle across the globe."
,"$4,149 ",Meteor 350,New 2022 Royal Enfield Cruiser,
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,
,"$5,349 ",Continental GT 650 Twin BRITISH RACING GREEN,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT 650 Twin BRITISH RACING GREEN,"
"7,066 miles","$4,600 ",METEOR 350,Used 2022 Royal Enfield Classic / Vintage,"2022 Blue Royal Enfield Meteor Super Nova 350 , , A brand that you don't run across often enough. Royal Enfield started production in 1901 and is responsible for the Royal Enfield Bullet, which became the longest-lived motorcycle design ever. The company has changed quite a bit over the years but these folks know a thing or two about the basic two wheeled transportation device that we know and love as the motorcycle.The Meteor is equipped with a 349cc, fuel injected, air cooled single cylinder engine that develops almost all of it's torque at 1800 rpm, which is perfect for an in town commuter. Weighing in at just 421 pounds, the 350 is a light , easy to handle motorcycle. Don't let the Retro looks, heritage or styling deceive you though, this is a thoroughly modern machine. A 5 speed transmission with toe and heel shifting and chain final drive for efficiently and low maintenance. The engine from the factory will not allow this bike to exceed 75 mph which provides quite a few advantages. 1-you can't go crazy fast to kill yourself, 2-you should be able to prevent yourself from receiving a speeding ticket, and 3-there is absolutely zero chance of red-lining, so your engine will not self-destruct! Disc brakes front and rear bring you to a halt. The comfort of this seat, passenger as well, exceeds that of the Honda Rebel and you could easily ride it for hours and miles without discomfort. Technology includes ABS, a halogen headlight, a L.E.D. brake light, and a small screen located next to the analog speedometer functions as a GPS using the Royal Enfield App and a second clock. Throw in about 60 mpg and the Meteor 350 is worth checking out, especially this Super Nova model. Straightforward and retro, these are cool bikes.Exclusively used for commute to and from work, over 100 miles each way! Serviced 3 times and, mileage wise, most recently. New spare oil filters included. Garaged 100% when not being ridden. Comes with original 2 keys. One owner with cleared clean Nevada Title paperwork. Selling to help pay off credit cards in preparation for a replacement car for my wife!"
,"$6,349 ",CONTINENTAL GT 650,New 2023 Royal Enfield Standard,
,"$4,749 ",Meteor Stellar Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Meteor Stellar Red, Brand new to our showroom... The new Meteor 350! Awesome bikes, at an unbeatable price. Only a few in stock. Come and check them out today!!! *Price listed is MSRP and does not include freight, assembly. or doc fee. Call for more details.  2021 Royal Enfield Meteor 350 Stellar Red"
3 miles,"$6,149 ",INTERCEPTOR 650,New 2023 Royal Enfield Classic / Vintage,
6 miles,"$4,699 ",Classic 350,New 2023 Royal Enfield Cruiser,
,"$4,799 ",Meteor 350,New 2023 Royal Enfield Cruiser,
6 miles,"$4,799 ",Classic 350,New 2023 Royal Enfield Cruiser,
6 miles,"$4,599 ",Classic 350,New 2023 Royal Enfield Cruiser,
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 Graphite Blue"
800 miles,"$3,999 ",Classic 350,Used 2022 Royal Enfield Cruiser,"Chrome redback seatTripper RE Navigation using mobile app directions under 1000 milesfirst 350 mile service doneNo freight charged, dealer fees New bike would cost 6200&. Save 1800$"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Today’s world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux."
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Today’s world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux."
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Today’s world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux."
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, 2023 ROYAL ENFIELD SCRAM HAS ARRIVED! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS!   Features  Engine"
1 miles,"$3,999 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, Price includes $250 Military Credit, Must Qualify!!   Features  Engine"
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue,    Features  Engine"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, Sale price plus freight, set up tax title and fees.   2023 Royal Enfield Scram 411 White Flame"
764 miles,"$5,498 ",Interceptor 650,Used 2022 Royal Enfield Standard,"2022 Royal Enfield Interceptor 650,"
,"$4,499 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, Sale price plus freight, set up tax title and fees.   2022 Royal Enfield Classic 350 Halcyon Grey"
,"$4,699 ",Classic 350 Chrome Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Red, Sale price plus freight, set up tax title and fees.   2022 Royal Enfield Classic 350 Chrome Red"
"1,276 miles","$3,980 ",Himalayan 411 EFI ABS,Used 2020 Royal Enfield Standard,
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Today’s world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux."
,"$4,799 ",CLASSIC 350,New 2023 Royal Enfield Sportbike,
5 miles,"$4,499 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2022 Royal Enfield Classic 350 Signals Marsh Grey"
5 miles,"$4,999 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2022 Royal Enfield Classic 350 Dark Gunmetal Grey"
,"$4,599 ",CLASSIC 350,New 2023 Royal Enfield Cruiser,
10 miles,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,
,"$4,599 ",CLASSIC 350,New 2023 Royal Enfield Cruiser,
,"$5,099 ",Scram 411 Skyline Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Skyline Blue, 2023 Royal Enfield Scram 411 Skyline Blue"
5 miles,"$3,999 ",Hunter 350 Dapper Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Hunter 350 Dapper Grey, 2023 Royal Enfield Hunter 350 Dapper White"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red"
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Graphite Blue"
5 miles,"$5,099 ",Scram 411,New 2023 Royal Enfield Dual Sport,"2023 Royal Enfield Scram 411,"
,"$4,599 ",Classic 350 Halcyon Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Grey, 2023 Royal Enfield Classic 350 Halcyon Grey"
5 miles,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 Skyline Blue"
,"$4,799 ",Classic 350 Chrome Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Red, 2023 Royal Enfield Classic 350 Chrome Red"
5 miles,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
5 miles,"$5,099 ",Scram 411 Skyline Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Skyline Blue, 2023 Royal Enfield Scram 411 Skyline Blue"
5 miles,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black"
3 miles,"$4,799 ",Classic 350 Dark Gunmetal Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Dark Gunmetal Grey, New 2023 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports"
5 miles,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Skyline Blue"
5 miles,"$4,699 ",Meteor 350 Fireball Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Fireball Red, 2023 Royal Enfield Meteor Fireball Red"
5 miles,"$4,899 ",Meteor 350 Supernova Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Supernova Blue, 2022 Royal Enfield Meteor 350 Supernova Blue"
