mileage,price,BIke name,Types and Used Time,description
"7,872 miles","$9,500 ",BOULEVARD M109R LIMITED EDITION,  2011 Suzuki Touring,"Purchased in 2012 from dealership with 3K miles on it. Garage kept. Bike is in excellent condition. Mods include Cobra Fi2000 PowrPro Tuner, K&N filters, Arlenness Deep Cut Comfort Series Grips, 1 1/2"" handlebar risers, Billet Mini Footboards, Kuryakyn Scythe Glass Mirrors, New tires on front and back. Including all the riding gear in the pictures in the sale price. HJC Modular Helmet (Large) with Sena Bluetooth and microphone, Vulcan VTZ-910 jacket with liner (3XL), Xelement Armored Jacket (3XL). Black leather, Black Textile, and Vega Mesh riding vests. Just haven't had the time to ride for years and don't see that changing with work and my son's sports activities. Looking for a good home for a well-kept bike. Clear title. Cash or cashier's check only! Not desperate to sell so I'd appreciate serious inquiries only."
"11,265 miles","$5,185 ",DR 650SE,  2008 Suzuki Dual Sport,"Up for sale is a 2008 Suzuki Dr650SE with High Compression Piston, Thumper Carburetor, Trail Tech Pro GPS, Pro Taper Handlebars, Double Take Mirrors, Barkbusters Hand Guards, FMF Full Exhaust. At my elevation the bike gets around 52 MPG, in Cloudcroft, NM the bike will get closer to 60 MPG. PROCYCLE has been the provider of all aftermarket parts and they work as they should. Front Fork Seals Replaced last fall, shop scratched gas tank by letting the handle bars hit the tank. I have changed the oil every 25 hours which is close to 1500 miles. Bike just had oil and filter change along with air filter serviced and re-oiled. Tires are good for another 2,000 miles or so. I have a new rear tire that goes with the bike. Trade may be considered (No Projects) but only Dual Sport or Sport Touring Motorcycles such as (African Twin 2020 models and up, BMW R1100RT or BMW R1150RT) to be considered. This bike pulls like a Freight Train. No Test Ride without money in hand and a Motorcycle Class M Endorsement. Thank you for viewing my ad and good luck in your search for your next adventure!"
"3,585 miles","$8,000 ",DR Z 400S BASE,  2020 Suzuki Dual Sport,"Selling my Suzuki DRZ-400s. I am the original owner with the title in hand. The bike itself is in great shape and I am selling it because it's time to get a bigger bike and go on some different adventures. The bike is stored in a heated garage. I have included the list of Mods and accessories that will come with the bike. Along with the maintenance record. I always run 91 octane in the bike and fuel med additive ran in every tank. In addition to the mods, you get a second set of Dirt Tires for your dirt ripping adventures. The front is a Dunlop 606 Brand new. The rear is a Kenda K270 Dual Sport Rear Tire with 1100 miles on it. See photos. Street/dual-sport tires are the original Bridgestone TW41 / TW42 Trail Wing Tires with about 2500 miles on them. Also, you get an oil change, New front and rear brake pads and rotors. And new Acerbis Panels color black for the whole bike. MODs: Tusk Rear RackTusk D-Flex Pro HandguardsK&N AirfilterRam Phone mountIMS Pro PegsStompgrip tank grips12 o clock Labs TS-700 led turn signals front and back12 O clock labs DRC edge 2 processor board rear tail light/ rear fender eliminating kitJNS engineering led headlightClutch switch removedKickstand switch removedRicochet off-road skid plateThumper talk case coversDevol rear disk shieldBajaworx windscreenSeat concepts seat.Tusk lithium-ion batteryTusk seat heaterAtlas throttle lockJNS light mountThumper Jockey Enduro 3000 headlight kit3x3 Airbox modJD jet kit. Pilot 25 main 145 red needle second position. (The Rest of the Kit is included) Thumper talk fuel screw.Devol radiator guardsTusk upgraded shift leverPrimary drive chain guard.Tusk heated gripsDrz dash panelsPro taper pillow top grips12v usb charger with volt meter.Topar rear caliper guardTopar countershaft guardPro motion throttle tubeKickstand plateHealtech Thunderbox Power Distribution ModuleYoshimura Exhaust Street RS-2 Full-SystemRace Tech ADV Shock Spring Weight 234-256 lbs. / Spring Rate 6.6kgFeel free to send me an email with any questions. I am willing to entertain reasonable offers. This is a great bike and I hope it goes to a great owner for lots more adventures."
"17,049 miles","$9,999 ",GSX-R750™,  2013 Suzuki Sportbike,GSX-R750™
"18,000 miles","$12,950 ",HAYABUSA 1300R,  2009 Suzuki Sportbike,2009 CUSTOM DALLAS COWBOYS SUZUKI 1300$18950 PRICE IS NEGOTIABLE BUT ABSOLUTELY NO LOW BALLERS PLEASECLEAN TITLEONE OF A KINDWITH A MULTITUDE OF CUSTOM EXTRAS INCLUDINGA CUSTOM CHROMED SINGLE SIDED SWING ARMCUSTOM CHROMED WHEELS BIG WHEEL CUSTOM 360 REAR TIREBACK UP CAMERACUSTOM LIGHTSCUSTOM HAYABUSA GAS CAP2 SETS OF CUSTOM DALLAS COWBOYS SEATS2 CUSTOM DALLAS COWBOYS HELMETSMULTIPLE CHROME ACCESSORY PARTSTOO MANY TO LISTA ONE OF A KIND CUSTOM PAINT JOBTHAT INCLUDES ONE OF THE WORLD FAMOUS DALLAS COWBOYS CHEERLEADERSTHE 5 SUPERBOWL TROPHIESONE OF THE 5 SUPERBOWL RINGSAND A HOST OF CURRENT AND FORMER PLAYERSAGAIN THE PRICE IS NEGOTIABLEBUT NO JOY RIDESAND NO LOW BALLERS PLEASECALL OR TEXT 903-235-3201TO MAKE AN APPOINTMENT ORFOR MORE INFORMATION
"18,562 miles","$3,500 ",Boulevard C50,  2007 Suzuki Cruiser,Engine Type V Twin--Cylinders 2--Engine Stroke 4-Stroke--Cooling Liquid--Valves 8--Valves Per Cylinder 4--Valve Configuration SOHC--Bore 83/3.27--Displacement (cc/ci)819/50--Compression Ratio 9.4:1--Starter Electric--Fuel Requirements Regular--Fuel Type Gas--Fuel Injector --Carburetion Type Fuel Injected--TRANSMISSION: Transmission Type Manual--Number Of Speeds 5--Primary Drive (Rear Wheel) Shaft---Wheels Composition Steel--Chromed Yes--Front Tire Width 130--Front Tire Aspect Ratio 90--Front Wheel Diameter 16--Rear Tire Width 170--Rear Tire Aspect Ratio 80--Rear Wheel Diameter 15--Front Tire (Full Spec) 130/90 R16--Rear Tire (Full Spec) 170/80 R15---BRAKES: Front Brake Type Hydraulic Disc-Front Brake Diameter (in/mm) 11.8 / 300--Rear Brake Type DrumRear Brake Diameter (in/mm) 7.1 / 180--SUSPENSION: Front Suspension Type Telescopic Fork----Rear Suspension Type Twin Sided Swing Arm--Rear Adjustable Shock / Spring Pre-Load Yes--Number Rear Shock Absorbers 1--Rear Suspension Material Steel--STEERING: Steering Control Handlebar---TECHNICAL SPECIFICATIONS: Length (ft) 8.23--Width (in/mm) 38.2 / 970--Height (in/mm) 43.5 / 110--5Wheelbase (in/mm) 65.2 / 1655---Ground Clearance (in/mm) 5.5 / 140--Length (ft/ft) 8--Length (ft/in) 2.8--Dry Weight (lbs/kg) 542 / 246--Fuel Capacity (gal/l) 4.1 / 15.5--Engine Displacement to Weight (cc) 1.51---SEATS: Seat Type Two-Piece--Seat Material Leather---Seat Location Driver and Passenger--Seat Height (in/mm) 27.6 / 700--Number Of Seats 2--Detachable Passenger Seat Standard--EXTERIOR: Frame Steel--Floor Board Location DriverHand-- Grips Standard--Foot Peg Location Passenger--Fork Guards Yes--Side Cover YesFront Fender Standard--Rear Fender Standard--Top Crown Standard--Stand Type Kick--Handlebars Standard--License Plate Standard---INSTRUMENTATION: Digital Instrumentation Standard--Clock Standard--Trip Odometer Standard--Speedometer Standard--Fuel Level Warning Type Gauge--- Cruiser--Manufacturer Country Japan Introduction Company Suzuki --Display Name Boulevard C50PAINT & FINISH: Metallic Headlight Mounts Standard--Headlight Visor Standard--Halogen Headlight (s) Standard--Headlight (s) StandardType Halogen
,"$2,999 ",DR-Z125L,  2022 Suzuki Dirt Bike,"Here comes the 2022 DR-Z125L to make sure young and smaller stature riders can tackle the dirt. Larger 19-inch front and 16-inch rear tires, as well as a front disc brake, deliver big bike performance to a size-appropriate motorcycle. Here’s the perfect platform to build essential riding skills upon, as the DR-Z125L has a true manual clutch and a five-speed transmission so riders can develop these skills as they advance within the sport of motorcycling. Styled to mirror Suzuki’s Championship-winning RM-Z and RMX models, this DR-Z arrives with a race-oriented look, while the sharp handling and strong low-end and mid-range power provide the get-up-and-go that defines off-road bikes. The bike’s race ready looks prove you can’t judge a book by its cover, because the DR-Z125L is an unassuming, easy to ride package packed with loads of fun."
"2,324 miles","$12,000 ",Boulevard C90T B.O.S.S.,  2019 Suzuki Cruiser,"This 2019 was purchased in 2021 with 0 miles! Currently, mileage is extremely low at 2324.0 miles (yes, 2324!). This barely ridden gem has been garage kept, and is in excellent mechanical and physical condition. While Suzuki boasts that this bike's engine is the most powerful in its class,  this bike looks good and offers a silky smooth ride. This Suzuki Boulevard C90 B.O.S.S. rewards you with a striking combination of blacked out styling and heart-pounding performance, thanks to its liquid cooled, 90 cubic inch, fuel injected, V-twin engine. Along with the aggressive Blacked Out Special Suzuki (B.O.S.S.) styling and stunning performance, this bike features a spacious riding position and seat, and large floorboards for comfortable cruising, matched by precise, agile handling provided by its rigid chassis and advanced suspension.   Personal matters are preventing me from riding as much as I would like, so I am reluctantly parting ways. There is a little wiggle room in the price, and I will throw in some extras for the committed buyer who takes this gem off of my hands! Hurry while it is still available!"
"5,867 miles","$12,499 ",Hayabusa,  2015 Suzuki Sportbike,**CALL or TEXT 608-289-0320!!**
"2,583 miles","$6,498 ",DR-Z400SM,  2021 Suzuki Dual Sport,"2021 Suzuki DR-Z400SM, HUGE PRICE REDUCTIION This 2021 20Suzuki SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It's not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic. - This Suzuki is in Excellent overall exterior condition - Clock, Disc Brakes - Contact SF Moto at 415-404-9320 or sf_moto@yahoo.com for more information. - A little bit about us, SF Moto is a locally owned shop catering to first time scooter & motorcycle buyers. We have a huge selection of Helmets & Apparel, PLUS a great selection of   motorcycles & scooters. If you are in San Francisco please come by and visit. To see more bikes & scooters for sale check out our web site at www.sfmoto.com Call 415-404-9320 We are, Monday through Saturday, 10am-5pm. Our location is 275 8th. Street San Francisco CA. 94103. This is in the south of market area of San Francisco just off the Bay Bridge. -"
"4,150 miles","$8,250 ",GSX-R 1000R,  2007 Suzuki Sportbike,"Amazing conditioned, two owner bike with LOW miles!Cosmetic imperfection on muffler and fairing, not noticeable from five feet away. Iconic bike made for effortless accelerating and handling. Light and nimble. Other than a few minor scratches, this bike looks and feels brand new!"
"2,189 miles","$7,983 ",V-Strom 650XT,  2022 Suzuki Dual Sport,"2022 Suzuki V-Strom 650XT, 2022 Suzuki V-Strom 650XT Adventure"
1 miles,"$9,283 ",V-Strom 650XT Adventure,New 2022 Suzuki Dual Sport,"2022 Suzuki V-Strom 650XT Adventure, 2022 Suzuki V-Strom 650XT Adventure"
,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
1 miles,"$6,983 ",DR-Z400SM,New 2023 Suzuki Dual Sport,"2023 Suzuki DR-Z400SM, 2023 Suzuki DR-Z400SM"
1 miles,"$11,483 ",GSX-R750,New 2023 Suzuki Sportbike,"2023 Suzuki GSX-R750, 2023 Suzuki GSX-R750"
7 miles,"$6,299 ",RMX450 Z,  2019 Suzuki Sportbike,"Only 7 Miles!! This Bike is almost Brand New and never been off-road. It is powered by a fuel-injected, 449 cc engine, the 2019 RMX450Z is the motorcycle that’s ideal for serious off-road work or just a fun day on the trails. Everything you need to take the lead off road is here, starting with the slim, aggressively-styled chassis and bodywork. Toss in the push-button electric starter, the full-function, two-mode instrument cluster, and enduro lighting, and you have the conveniences that take the worry out of your ride. New bodywork colors and graphics--with Suzuki’s Championship-winning open-class motocrosser, the RMX450Z rewrites the rules for serious trail riders. This bike has a lowering link installed from the dealer. Also a matching seat cover was installed to make it suitable with the rest of the bike.If the bike is listed it's still for sale. Low ballers and scammers please stay away."
"5,005 miles","$10,999 ",GSX-R750,  2017 Suzuki Sportbike,"2017 Suzuki GSX-R750, Please call or text our internet department for further information. 865-985-4126  2017 Suzuki GSX-R750 Single SHOWA rear shock features externally adjustable rebound and compression damping, along with adjustable ride height."
"8,700 miles","$11,999 ",GSX R 1000,  2014 Suzuki Sportbike,"2014 GSXR-1000 with only 8700 miles! Bike has been adult owned and garage kept its entire life. Bike is meticulously maintained and cared for! Just performed full service( Engine oil change, Brake fluid flush/change, Clutch fluid flush/change as well as new tires and chain service/lube! The bike has an aftermarket VooDoo Exhaust and an aftermarket rear wheel guard. Its hard to find even a scratch on the bike except for a very small dent on side of gas tank which can be repaired for $500! Previous owner dinged it on his barbeque pit!!!!"
"45,860 miles","$3,000 ",INTRUDER 1400,  2003 Suzuki Cruiser,"Beautiful Condition, no rust no scratches, new tires, brakes, battery and fluids! I am the 3rd owner. First owner never rode it, second owner was in his 50's and put 21K miles on her, then me. I fully customized this bike with just about every aftermarket part there is. Highlights include 10"" Seeger forward controls, 10.5"" Progressive rear shocks (to eliminate gap under fender), dual drag pipes by Cruiser Magic with Thunder Monster baffles, Seeger rear foot peg Lower Arms, Arlen Ness mirrors and grips, K&N air filters, cruise control and so much more! Comes with cover, removable windshield and matching helmet. I am selling because I am old now. LOLemail me directly at: heyandyfunk@gmail.com"
"8,092 miles","$6,199 ",GSX-S750,  2015 Suzuki Sportbike,**CALL or TEXT 608-289-0320!!**
"1,300 miles","$12,900 ",BOULEVARD,  2020 Suzuki Touring,
"12,950 miles","$13,500 ",HAYABUSA 1340 LIMITED,  2008 Suzuki Custom,"This custom Hayabusa is show quality and in perfect cosmetic and operating condition with low miles.The paint is absolutely gorgeous with amazing detail and deep clear coating protection. The seats (front and rear) are custom embroidered with the Hayabusa name and logo, there is a 6"" extended rigid swingarm that accommodates wide custom wheels and the 270 rear end modification with 240/40 rear tire. The advanced commander upgrade with Brocks 4 into 1 exhaust brings a crisp, deep and powerful sound with plenty of ""delivery"" for your full satisfaction.The Hayabusa logo lights up on the wind screen up front and pinstriping highlights the wheels and body parts. Chrome accents include the front full instrument panel, custom mirrors and levers as well as other small parts of the bike. Rear grab bar embossed with ""Hayabusa"" name. Carbon faring surface, tank pads (side and top) help to finish the performance appeal on this beauty! One-of-a-kind head turner and always garaged and maintained for the next lucky owner."
1 miles,"$18,199 ",GSX-R1000R,New 2023 Suzuki Standard,
"1,260 miles","$10,995 ",GSX-S1000,  2023 Suzuki Sportbike,"2023 Suzuki GSX-S1000, Very low miles, and well taken care of in its short owned time. Super clean, GSX-S seats (pilot and passenger), heated grips, fender eliminator and bar end mirrors. This bike is decked out and ready to ride. Come see this sweet machine! See you soon.  2023 Suzuki GSX-S1000"
1 miles,"$7,099 ",DR-Z400S,New 2023 Suzuki Standard,Mountain Motorsports- Over 50 Years of Great Customer Service!!
1 miles,"$4,999 ",Burgman 200,New 2022 Suzuki Scooter,"2022 Suzuki Burgman 200, 3.99% for 36 mos expires 6/30/2023  2022 Suzuki Burgman 200"
"1,661 miles","$11,999 ",BOULEVARD,  2020 Suzuki Cruiser,"Like New Only 1600 Miles2020 Suzuki Boulevard M109R B.O.S.S.,This is the performance cruiser other bikes wish they were. The dark and muscular M109R B.O.S.S. has a powerful V-twin engine using some of the largest pistons in the industry a bike that will get your adrenaline flowing whenever you ride. This 109 cubic inch engine is wrapped with aggressive blacked-out styling that includes slash-cut mufflers, drag-style bars, a supplied solo seat cowl, and a distinctively shaped headlight nacelle that’s uniquely Suzuki. This bike is not just about looks, as stout inverted forks, a hidden single-shock rear suspension, and an ideally designed saddle deliver responsive handling and an exceptionally comfortable ride. Performance never looked so good, or so dark.Features may include:Climb aboard a true classic. Kick back and enjoy the timeless style that made riding synonymous with freedom. It’s all about the laid-back stance, broad saddle, and that irresistible rumble that only a cruiser can provide."
"1,661 miles","$12,995 ",Boulevard M109R B.O.S.S.,  2020 Suzuki Cruiser,"Like New Only 1600 Miles2020 Suzuki Boulevard M109R B.O.S.S., This is the performance cruiser other bikes wish they were. The dark and muscular M109R B.O.S.S. has a powerful V-twin engine using some of the largest pistons in the industry a bike that will get your adrenaline flowing whenever you ride. This 109 cubic inch engine is wrapped with aggressive blacked-out styling that includes slash-cut mufflers, drag-style bars, a supplied solo seat cowl, and a distinctively shaped headlight nacelle that’s uniquely Suzuki. This bike is not just about looks, as stout inverted forks, a hidden single-shock rear suspension, and an ideally designed saddle deliver responsive handling and an exceptionally comfortable ride. Performance never looked so good, or so dark.Features may include:Climb aboard a true classic. Kick back and enjoy the timeless style that made riding synonymous with freedom. It’s all about the laid-back stance, broad saddle, and that irresistible rumble that only a cruiser can provide."
"5,447 miles","$9,990 ",Boulevard M109R B.O.S.S.,  2017 Suzuki Cruiser,**CALL or TEXT 608-289-0320!!**
"1,580 miles","$9,999 ",C50 Boulevard Trike,  2007 Suzuki Trike,"2007 Suzuki C50 Boulevard Trike, 2007 Suzuki C50 Boulevard Trike. Excellent condition with incredibly low miles! Only 1580 miles!!! This is a rare find! Quality Lehman trike kit. At this price its going to sell fast, don't delay! 727-273-9500 Runs/shifts/rides perfect. 30 day Unlimited mileage powertrain warranty!! All of our motorcycle go through a vigorous 38 point safety inspection. We know our Customers demand the best, thats why SpinWurkz Certified Pre-owned motorcycles leave our customers raving! We live by our motto. When Quality Matters. We work with multiple lenders & offer the best in Finance. Trades excepted! Come down to see our exceptional inventory SpinWurkz Motorcycles 6585 SEMINOLE BLVD SEMINOLE FL WWW.727RIDE.COM. TEXT ONLY LINE 716-903-4504 OR CALL SHOP AT 727-273-9500. We do not own the rights to this music."
"55,000 miles","$6,500 ",BOULEVARD M109R,  2007 Suzuki Cruiser,"This M109R has hard bags that are key lockable and set this bike apart from most M109s.It has good tires, brakes, runs great and needs nothing.I have added WindshieldThrottle lockHighway pegsBack RestHand GripsThis is a big bike for big man! It is close to 700 lbs dry.It is very comfortable to ride for long distances and will reallyeat up freeway miles.The reason I'm selling this bike is that I have too many bikes (if that is possible)and I need to trim my herd down a bit.lThis bike is a lot of fun to ride and has never let me down."
"26,716 miles","$4,999 ",V-Strom 1000 (DL1000),  2004 Suzuki Standard,
"4,631 miles","$4,799 ",Bandit 1200,  2002 Suzuki Sportbike,"2002 Suzuki Bandit 1200, 2002 SUZUKI BANDIT 1200!!! VERY CLEAN 1 OWNER MACHINE WITH LOW LOW MILES!! New tires & more, call now before this bike rides away with someone else! Runs/shifts/rides perfect. 30 day Unlimited mileage powertrain warranty!! All of our motorcycle go through a vigorous 38 point safety inspection. We know our Customers demand the best, thats why SpinWurkz Certified Pre-owned motorcycles leave our customers raving! We live by our motto. When Quality Matters. We work with multiple lenders & offer the best in Finance. Trades excepted! Come down to see our exceptional inventory SpinWurkz Motorcycles 6585 SEMINOLE BLVD SEMINOLE FL WWW.727RIDE.COM. TEXT ONLY LINE 716-903-4504 OR CALL SHOP AT 727-273-9500. We do not own the rights to this music."
1 miles,"$17,799 ",Hayabusa,New 2023 Suzuki Sportbike,
"4,326 miles","$4,999 ",BOULEVARD C50,  2007 Suzuki Cruiser,Displacement:
"28,944 miles","$4,200 ",BOULEVARD C90,  2007 Suzuki Cruiser,"2007 Suzuki Boulevard C90 for Sale with Tons of Freebies!Don't miss out on this amazing deal! Selling my 2007 Suzuki Boulevard C90 with only 28,944 miles and always garage kept. This bike comes with aftermarket tuned Cobra pipes, a full windshield, removable leather saddle bags, sissy seat, and a fully tightened down suspension to accommodate another rider on the back. But that's not all! The sale of the motorcycle comes with tons of freebies to sweeten the deal, including a 12V/750mA automatic battery tender trickle charger, XL sized Moto Mercenary Speed & Strength vintage zip-up hoodie with pad riding inserts, L/XL SHOEI RF-1100 Full-Face Black Helmet with Clear and Dark Lenses along with storage bag, 2 sets of protective riding gloves, one L and the other XL, a set of L/XL Duhan rechargeable heated riding gloves, 2 pairs of riding glasses with padding and UV protection, dust and windproof for day riding (dark) and night riding (yellow), one all-weather motorcycle cover, and a steering wheel bike lock. There are a few small cosmetic issues. The bike is missing a few grommets on the trim from normal wear and tear. The fuel panel doesn’t lock properly but is secured with a high strength velcro. Lastly, the fuel indication flashes consistently. It is potentially a bad float unit or wiring inside the fuel tank, however the maintenance quote to troubleshoot and repair is pricey at over $500. I mitigate this by resetting the trip odometer every time I fill up. Overall range is approximately 110 miles and I always use premium gas of 91 octane or higher whenever refueling. However, the bike is recently registered in March for the next 12 months! I am selling the bike because I simply don't ride much anymore, and it is taking up space in my garage. It needs a good home. This is the perfect opportunity to get your hands on an excellent bike with all the extras you need to get started on your next adventure! Contact me today to schedule a viewing and test drive (must have cash in hand, you break it or put it down, you buy it). Asking price is $4,200. Don't miss out on this amazing deal!"
"18,437 miles","$4,499 ",Boulevard C90T,  2006 Suzuki Cruiser,"This   2006 Suzuki Boulevard C90T is for sale at Southeast Sales located in Milwaukee, Wisconsin. Contact Southeast Sales today to SCHEDULE A TEST-RIDE. If this isn't the exact powersport vehicle you're looking for don't hesitate to go back and REVISE YOUR SEARCH. We're sure to have the perfect vehicle for you in our showroom in Milwaukee. We host one of the largest selections of new and   powersports in the Milwaukee area. Visit Southeast Sales, your WI powersports dealership. Wisconsin’s premier new &   atv, motorcycle and side x side dealer, we'll help you ride home on a new vehicle today!"
