mileage,price,Bike,Types and Used Time,description
"1,679 miles","$5,499 ",RC 390,  2022 KTM Sportbike,
"4,882 miles","$13,950 ",1090 ADVENTURE R,  2018 KTM Dual Sport,"Very fun bike. Very powerful especially with Rottweiler tuner and Yosh pipe. Excellent condition. Many, many extras and add-ons. Always garaged. Willing to answer any questions or concerns. List of extras follows. Yoshimura ExhaustRottweiler TunerRam mirrorsRam phone holderScotts Steering stabilizerBRP cushion handlebar mountsBDCW (Black Dog Cycle Works) Skid plate with kick stand relocatorBDCW kick stand with larger footprintBDCW oil cooler guardMosco Moto bracketsMosco Moto 35L side bagsMosco Moto 45L top loader bagFasst foot pegsFasst rear brake pedalRekluse clutchCyclops led turns signal kit (still in box)Cyclops TPMSThumper Jockey LED driving lightsXenon high and low beam lightsSW Motech upper crash barFull wrap hand guardsExtra new front and rear continental tiresOil filter, plug bolts and screens kitStop and Go Mini air compressorStop and Go pocket tire plugger kitExtra hardware for Mosco Moto bagsDustriders motorcycle lift/hoist kitUSB port under seatBattery tender port under seat (charger not included)OEM Manual in binderOEM dongle"
,"$8,950 ",450 SX-F,  2019 KTM Mx,"Special motorcycle financing is available even with a low credit score,"
"7,300 miles","$11,500 ",1290 SUPER ADVENTURE R,  2019 KTM Dual Sport,"Bike is mint and going fast. Bike is nearly brand new owned 4 years and garage kept, 1 owner. brand new tires. it's a KTM - no more needs to be said if you are an enthusiast Not for BMW weekend riders. This Bike is the real deal if you are. Look up the specs. Don't have to convince anyone about what this bike is about.Owned a 690 Enduro, and needed more. This is it. Selling because I am spending time on the water with a new boat. Never thought I would have to let go of this machine. Lucky owner steps up with serious offers only. Not cutting my price so dont waste your time or mine. Priced right for this perfection of machinery and adventure fulfillment."
,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R"
"3,500 miles","$9,975 ",ADVENTURE 1190,  2014 KTM Dual Sport,"3500 miles ORIGINAL OWNER Exc++ condition, Yoshimura exhaust, Dual Helmut Givi rear Box, Trick Large Givi tank bag with one finger release, Windshield extension, plus more. Original Exhaust, mirrors, parts, tool kit, manual.***YOU MUST INCLUDE AN EMAIL OR PHONE# WHEN CONTACTING ME TO GET A REPLY***Delivery by Trailer can be arranged. Optional transport trailer with ""drive on"" PitBull custom mount can be purchased with bike.2014 KTM 1190 Adventure, 2014 KTM 1190 Adventure EVEN FURTHER AHEAD THANKS TO NEW CORNERING ABSKTM already set standards in the travel segment with the new 1190 Adventure in its first model year. the 1190 Adventure has been turned into what is currently the world's safest motorcycle - yet still with undiluted riding pleasure. For the first time, it offers Bosch's new MSC (Motorcycle Stability Control). MSC enhances the existing package consisting of lean-sensitive traction control and ABS featuring a combined braking function with a world first: the first ever lean-sensitive cornering ABS. As ever, it sets standards in the travel segment: 150 hp with a weight of only 230 kg fully tanked combine to produce a power-to-weight ratio previously unheard of in this class and therefore delivering unrivalled ride dynamics. At the same time, the powerful, economical and cultivated engine enables either particularly relaxed and comfortable riding or, if required, super-sporty propulsion with every conceivable level in between. The chassis combines lightness with outstanding geometry and fantastic suspension, which, together with completely new tires for the travel enduro class, allow undreamed of riding pleasure in all conditions and whatever speed you desire.Although substantially more powerful and equipped more comprehensively, the 1190 Adventure consumes about 20 per cent less fuel than its predecessor with an impressive 23-litre tank capacity.A unique mix of the highest quality components combined with a fully developed and reliable engine allows extremely long service intervals of 15,000 kmThe guarantee for smooth throttle response, not just no throttle control cable: The 1190 Adventure's ride-by-wire system ensures perfect application of the readily available and plentiful torque. It also electronically translates the throttle commands of the rider into throttle valve positions perfectly suited to the riding conditions. The DBW system is fully compliant with the s"
"8,741 miles","$14,600 ",1290 SUPER ADVENTURE R,  2017 KTM Dual Sport,"This machuine is the funest Dual Sport monster I have ever ridden. It has tons of power and is very agile and lots of comforts. Sadly I just don't get to ride it enough to keep it. It is an R model with 8741 miles, heated grips, two piece PowerParts heated seat, cruise control, Rox hadjustable handle bar riser, Black Dog oversize foot pegs, interchangable rear seat/luggage rack, Delkevic muffler (10 lbs. lighter than stock), TPE Lifepo4 lithium battery (5lbs. lighter than stock), Wolfman tank bag, Tusk panniers with extra liquid storage, KTM top box with quick mount and matched key. Never been down. Wheel spoke gaskets have just been replaced and Iave all of the original parts and hardware. There is also a new chain guide, pictured with the rear pegs and other parts."
"3,256 miles","$3,999 ",200 Duke,  2021 KTM Sportbike,"2021 KTM 200 Duke, 2021 KTM 200 Duke"
3 miles,"$16,994 ",ADVENTURE 890 R,New 2022 KTM Dual Sport,"2022 KTM ADVENTURE 890 R, 2022 KTM 890 Adventure R"
"2,327 miles","$11,000 ",SMC 690 R,  2021 KTM Super Moto,"2021 KTM 690 SMC R 11,000$ Like New 2021 KTM 690 weighing in @ 324lbs with 2327.2 miles and sitting at a stunning 47:05 that’s right FORTY seven hours and five minutes old in the black and orange corner, For the lighter price of 11k$ she could go home with you. Title in hand, hit me with your best shot. For people who are seriously interested you can text me at 1(Five 3Zero) 8Zero6 six9six8"
"2,000 miles","$16,500 ",1290 SUPER ADVENTURE S,  2020 KTM Touring,"2020 KTM 1290 SUPER ADVENTURE S, EXCELLENT CONDITION! $17,500This bike is in perfect condition, no scratches, dings, or smudges. Never down or off road. Complete with everything provided when purchased new, including tool kit, keys, and manual. Title in hand. Additional Accessories included:KTM AKRAPOVIC ""SLIP-ON LINE"" 1290 SUPER ADV 2013 – 2020 --- $1099.99KTM TOURING SIDE CASES SET 1090/1190/1290 SUPER ADV/R/S/T 2015-2020 --- $1247.99KTM TOURING TOP CASE 36L 1290 SUPER ADV/R/S/T 2013-2020 --- $582.99KTM ERGO HEATED SEAT 1290 SUPER ADV --- $301.99KTM ERGO HEATED PASSENGER SEAT 1290 SUPER ADV 2013-2020 --- $239.99KTM BRAKE RESERVOIR COVER ADVENTURE --- $29.99KTM CLUTCH RESERVOIR COVER ADV --- $24.99KTM RADIATOR PROTECTION GRILL /1290 SUPER ADV --- $88.99KTM CLUTCH LEVER 1190/1290 ADV/SUPER ADV/R/S/T 2013-2021 --- $218.99TOTAL accessories --- $3836"
"14,640 miles","$13,500 ",1090 ADVENTURE R,  2018 KTM Dual Sport,"Ktm 1090 adventure r. 14640 miles just had it serviced and valves checked . New fork seals, Rottweiler fuel doggel,k&n air filter, wings tip, aux light and cyclops headlight , Garmin gps , tusk rack set for soft bags, new quantum fuel pump installed and a spare because you never know. I have givi hard boxes with rack and all mounting hardware, stock gearing 17&42 with chain and 15&45 on it currently motaz gps tires have 4400 on road miles and the motaz rallyz have 600 dirt miles see pics for extra parts, great bike id ride to Tennessee back with out a doubt. No trades title in hand"
"14,050 miles","$11,896 ",1290 Super Duke GT,  2017 KTM Sport Touring,"2017 KTM 1290 Super Duke GT, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States.  2017 KTM 1290 Super Duke GT"
12 miles,"$10,700 ",350 XC-F,  2022 KTM Dirt Bike,"2022 KTM XC-F Factory Edition. This bike is basically brand new! It has 12 hours on it. It’s never been down and never been ridden hard. It’s been ridden by a old guy. This is a super rare bike most dealers never got one and if you look on line for one most dealer show out of stock and if a dealer shows they have one and you call on it it’s sold. This is the be at of the best for the 350’s. It comes with all the factory KTM race parts and any it was missing I added! MSRP is $12,299 plus freight plus set up plus doc fee and tax title and license so it ends up costing you over $14k. So this is your chance to save! Don’t miss out on this deal. Don’t low ball offer me! I don’t need to sell it. I just don't ride it!"
,"$5,799 ",390 Adventure,New 2022 KTM Sportbike,"2022 KTM 390 Adventure, 2022 KTM 390 Adventure"
,"$7,999 ",450 XC-F,  2019 KTM Dirt Bike,"2019 KTM 450 XC-F, 2019 KTM 450 XC-F"
84 miles,"$7,995 ",350 XC-F Enduro,  2022 KTM Dirt Bike,"2022 KTM 350 XC-F Enduro, We have a 2022 KTM 350 XC-F! Bike runs perfect and has no issues! Electric start, fuel injection, 18 in rear wheel, skid plate, hand guards etc! Perfect woods or enduro bike, while having capability to ride any terrain! Tons of power and reliable! 84 original hours and bike is ready to go! Don t miss out on this one! $7995 or trade! Financing available and we accept credit cards! Call or text 208-716-3244 for more details or come down to Harper Motorsports and check it out! WE SHIP TOYS NATIONWIDE! ANY ACCESSORIES CAN BE ADDED TO OUR TOYS AND WE OFFER WARRANTIES! 7168 N Government Way Dalton Gardens ID 83815 Harper-Motorsports.com We are open Monday-Tuesday by APPOINTMENT ONLY Open Wednesday - Saturday 10:00am-5:00pm Closed Sunday If you would like to make an appt to see one of our toys please call to set it up. We are very flexible and happy to meet any day!"
,"$8,999 ",450 SX-F Factory Edition,  2022 KTM Dirt Bike,"2022 KTM 450 SX-F Factory Edition, Easy Financing, Low Payments, Call Now, Click for More Info! 321-312-4352  2022 KTM 450 SX-F Factory Edition"
,"$12,500 ",450 SX-F FACTORY EDITION,  2021 KTM Mx,"2021.5 - KTM 450 SXF Factory Edition - Only 1.0 Hour on Bike- Title Free/Clear- Factory Edition Model w/: KTM Tuning Device/App, ODI Grips (Soft), Galfer Front Brake Rotor, and Carbon Composite Skid Plate- Complete FMF Titanium Exhaust - Recluse Core EXP 3.0 Clutch - Dubya Wheels: Talon Hubs and Excell Rims- Factory Connection Spring Conversion/ Revalved Forks - (185 lb Rider) - (2) Seats - Selle Dell Valle Seat - KTM Factory Race Edition- Factory Effects - Free Floating Axle and Chain Block Kit - (Orange)- Acerbis Frame Guards - (2) Air Filters"
"3,389 miles","$16,500 ",SUPER ADVENTURE 1290 R,  2020 KTM Dual Sport,"Experience the thrill of the ride on the 2020 KTM Super Adventure R - the ultimate adventure motorcycle that's fully equipped for any terrain or road condition. This impressive machine features top-of-the-line upgrades that make it the perfect choice for thrill-seekers and adventure enthusiasts alike.Equipped with brand new Michelin Anakee Wild tires, the Super Adventure R ensures superior control and stability on any surface. The Arrow exhaust provides an even deeper, more thrilling exhaust note that perfectly complements the Super Adventure R's powerful engine. And with white and yellow LED headlights, you can ride safely and comfortably in any lighting condition.This motorcycle also features an AltRider skid plate for optimal engine protection, as well as a CARPEiter tower and RAM mount for digital maps, making it easy to navigate your way through uncharted territories. The Puig touring windscreen and Givi luggage rack make it easy to carry all of your gear and ride in comfort for hours on end.With only 3389 miles on the odometer, this 2020 KTM Super Adventure R is in excellent condition and has been meticulously maintained. Whether you're exploring rugged off-road terrain or cruising down the highway, this Super Adventure R is the perfect machine to take you there.Get ready to experience the ultimate adventure on the 2020 KTM Super Adventure R - a motorcycle that offers unbeatable performance, agility, and style."
,"$6,855 ",350 SX-F,  2019 KTM Mx,"This 350 SX-F has been well cared for and has lots of great upgrades. Forks and shock recently serviced, tires replaced, etc. I bought this 350SXF just recently in December 2022. I wasn't sure if I wanted to do track or ride on trails. I ended up enjoying trails more, so converted this to be more trail-friendly with a bigger tank and a bigger rear sprocket. Recently I decided to sell it in order to get an XC-F which is more suited to my riding style. This bike rips. It's so insanely healthy and powerful. It's been serviced by Adventure Moto KTM in McKinney. I've put $3,000 into this bike in upgrades and good maintainence. Bike has 93.7 hours but rides like it was brand new. Other things to note:With several attempts of trying to find the right seat for me, I have three different seats. I'll let the buyer take their pick of one of them. I have the KTM powerparts tall seat, a custom ribbed GUTS tall seat, and a standard height ribbed GUTS seat. This bike has been trouble free and feels great to ride. I hope I can sell it to someone who will enjoy it! Bike is sold as-is."
"6,224 miles","$13,500 ",1090,  2017 KTM Dual Sport,"2017 and 2018 Bike of the Year for good reason! This bike is super clean! Garaged. Up to date maintenance. Perfect start and performance every time! New tires with less than 100 miles on them. Very fun and solid bike with plenty of power for the highways and all you need or want off road. Extras:I don't have time to ride like I thought I would. I leaned it over on gravel at slow speed. The left touring case has minor scuffs and actually absorbed most of the lean over. There is a small scuff on the left engine guard that can't even be seen unless you get Macro (pic). No chips! I also learned that the touring cases are flexible plastic so the aluminum panel removes and it is solid plastic behind it. Leaning the bike on the case did not damage the case or dent the structure, only the aluminum shield and you can't even see (pics). Great bike! You will not be disappointed!"
,"$13,949 ",890 ADVENTURE,New 2023 KTM Dual Sport,"2023 KTM 890 ADVENTURE, 2023 KTM 890 Adventure"
"3,978 miles","$16,550 ",890 ADVENTURE R,  2021 KTM Dual Sport,"I just bought a new battery yesterday (4/26 ~ $130) A little icing on the cake for ya!Almost $20k worth of bike only $16,550! $17k original bike* + over $3k in upgrades + NEW tires!  AND. she has brand NEW tires! Grab her before the summer bike rush hits!  Most of the miles on the IDBDR or dirt roads in Blue Lake , CA.889 cc liquid-cooled engine with 105 HP and 73 lb-ft of torque! More specs: https://www.motorcyclespecs.co.za/model/ktm/ktm_890_adventure_r_21.htmlGaraged when not riding. Trickle charged. Scuff marks on orange tank cover from shifty tank bag (included if you want it), random minor scratches from riding off road!- MOTOZ TRACTIONATOR RALLZ ($465), 150 miles ridden back from dealer install. Bar Risers ($65)Jet Hand Guards ($111)Wide Foot Pegs ($170)Wide Rear Rack Plate ($176)Bag Rack / Case Carrier ($268)Dry Bags - Nelson Rigg ($668):2x Sierra Dry Saddlebags, 2x Ridge Roll Dry Bag (15 Liter), 1x Sahara Dry Duffle BagClutch Cable (+3” for bar risers) ($37)GPS Holder ($99)AXP Racing HDPE Skid Plate ($317)Rottweiler Fuel Spigot & Guard ($117)TUSK Billet Side Stand Foot ($30)Rottweiler Headlight Brace ($92)USB Charger Plug ($17)Tubeless Flat Repair Kit ($29)Folding Mirrors ($137) (not including new tires)Bonus stuff (FREE if you want them too):Jack Stand & frame pegs ($91)Seat Concepts - *Comfort* seat ($350). Plastic guides at the front cracked, repaired-ish. I'll just toss it in.Serviced @ 600 Miles and inspected @ 3,825 miles with new tire install. I am in Arcata, CA (About 5 hours NORTH of San Francisco on the coast / 101) Bay Area, Southern CA, Portland, OR delivery  for some sort of ""split the gas"" deal. I know I live on the edge of nowhere! Cheers!"
"2,992 miles","$8,199 ",790 Duke,  2020 KTM Sportbike,"2020 KTM 790 Duke, 2020 KTM 790 Duke in great shape and very low miles! Call now before this bike rides away with someone else! Runs/shifts/rides perfect. 30 day Unlimited mileage powertrain warranty!! All of our motorcycle go through a vigorous 38 point safety inspection. We know our Customers demand the best, thats why SpinWurkz Certified Pre-owned motorcycles leave our customers raving! We live by our motto. When Quality Matters. We work with multiple lenders & offer the best in Finance. Trades excepted! Come down to see our exceptional inventory SpinWurkz Motorcycles 6585 SEMINOLE BLVD SEMINOLE FL WWW.727RIDE.COM. TEXT ONLY LINE 716-903-4504 OR CALL SHOP AT 727-273-9500. We do not own the rights to this music."
"1,896 miles","$8,999 ",790 Duke,  2020 KTM Sportbike,"2020 KTM 790 Duke, 2020 KTM 790 Duke SC exhaust  2020 KTM 790 Duke"
"14,355 miles","$6,900 ",690 ENDURO R,  2014 KTM Dual Sport,"Great bike.Never let me down.-registration current-Title in hand-KTM wind screen-Touratech seat-Touratech luggage rack with pegs-Touratech rear luggage plate-Touratech case protector-Touratech skid plate-FMF exhaust-Wolfman saddlebags-CJ designs foot pegs-CJ designs fuel filler neck kit-Center stand-KTM bar protectors-Scotch steering damper-BRP sub mount-new lithium battery 1/23-Auxiliary headlights-rear brake rotor protector-Garmin, Montana cradle wired-1 gallon ""Rotopax"" with mounting hardware-ABS dongle-K&N air filter-14,355 miles May change still riding Very well-maintained.Ready to go everywhere."
,"$9,985 ",Freeride E-XC,  2021 KTM Electric Motorcycle,"2021 KTM Freeride E-XC, 2021 KTM Freeride E-XC"
"3,032 miles","$17,990 ",1290 Super Duke R,  2020 KTM Sportbike,"2020 KTM 1290 Super Duke R, Lean, Mean, and Menacing - Can you tame the Beast ?  2020 KTM 1290 Super Duke R"
"4,900 miles","$11,000 ",790 ADVENTURE R,  2020 KTM Dual Sport,"This 2020 KTM 790 Adventure R is an absolute beast: Turning out approximately 88.4 horsepower at 8,300 rpm and 59.4 lb-ft at 7,100 rpm. Four ride modes: Rain, Street, Off-road, and Rally. ABS brakes, Cruise control, WP Xplor shocks, KTM 1 inch lowering kit, Akrapovic exhaust, carbon exhaust covers, MotoZ Traction Rallz tires w 400 miles, Giant Loop saddle bags and rear hard pack, custom kick stand foot peg, & battery tender hook up. Never ridden in mud or dust. Senior rider/owner ready to retire. Babied, stared at more than ridden, overly serviced by a KTM mechanic, and garage kept. Serious inquiries only please."
"22,546 miles","$11,799 ",1290 Super Adventure R,  2019 KTM Dual Sport,"2019 KTM 1290 Super Adventure R, ONLY 22,546 MILES, 1-OWNER, ARROW EXHAUST, BAG MOUNTS, WP ADJUSTABLE SUSPENSION, SKID PLATE, CRASH CAGE, RACK, PASSENGER GRAB HANDLES, HANDGUARDS, PHONE MOUNT, ABS, TRACTON CONTROL, RIDE MODES CONTROL, HEATED GRIPS, HEATED SEAT, CRUISE CONTROL, CENTER STAND, NEWER TIRES, AND MORE! SUPER CLEAN AND LOADED ADVENTURE STYLE RIDE!  2019 KTM 1290 Super Adventure R"
"4,460 miles","$9,995 ",1290 SUPER DUKE R,  2014 KTM Super Moto,
"22,994 miles","$9,000 ",1190 ADVENTURE,  2014 KTM Dual Sport,"One owner 2014 KTM 1190 S Grey, with black frame and crash bar, under 23,000 miles, with regular interval service. I have replaced this bike with a 2022 model, and don't have the space. I have listed the upgrades as follows but, I'm sure I forgot something. All service work done by authorized KTM dealers.KTM engine guardKTM lower crash barDenali auxilary lightsSW-Motech pannier racksSW-Motech back rackSW-Motech Trax aluminum panniersSW_Motech Clutch and rear brake master cylinder protectorAltRider extended kicksand footTouratech front fender riserTouratech headlight protectorPuig touring windscreen1190 R seatMotoZ front and rear 60/40 traction tiresWings aftermarket slip on stainless steel exhaustR&G radiator guard screenCyclops LED headlamp upgradeGarmin Zumo GPS power mountHeated gripsNew Lithium Ion batteryFor the adventure rider, this bike turnkey. As the origial owner I have the manuals, tool kit, and extra keys. The bike is road and dirt ready, just add gas. The bike does street and fire roads well. Spring is coming and some of the best rides in the Pacific Northwest are at your fingertips."
