mileage,price,Bike name ,Time of USed,description
"3,919 miles","$20,000 ",DIAVEL 1260 S,  2021 Ducati Sportbike,"selling my 2021 diavel 1260s total black, odometer reads 3,919 miles. i purchased the bike new from a dealer in 2021, the bike was broken in properly per the dealer's instructions. the bike has never been tracked.there are no mechanical issues with the bike. currently it is at the ducati dealership getting new tires installed and the annual service performed so after that's done the bike will be very much ready to ride.pictures are all from last year, i haven't had a nice weather weekend yet this year to de-winterize the bike and take new pictures. there has been no damage to the bike since the pictures taken last year. the first few pictures with the factory exhaust installed are the most current. ducati sold me the bike with the termignoni exhaust installed on the bike, with the factory tune and a servo buddy. the servo buddy did not block the check engine light from appearing on this bike. instead of having the bike tuned, i opted to remove the termi and re-install the factory exhaust to resolve the check engine light. the buyer will receive the termi exhaust separately in a box along with the bike.aside from the exhaust i purchased the bike with aftermarket mirrors, levers and bar ends from ducati.cash only, local pickup only, i am not accepting any offers below what i have the bike listed for.i also have for sale a really nice enclosed 1-2 bike fiberglass trailer from ironhorse that is perfect for hauling the bike."
"1,700 miles","$12,750 ",MONSTER + 937,  2023 Ducati Sportbike,"Bike is virtually brand new and excellent condition. Never dropped. No scuff marksYes the price is the cost of a new one. However you now do not have destination, assembly, dealer prep, set up, doc fees, which totals another $1,500+/- Additonally the 620 mile fee of $475 has been done. Next service is 2 years or 9,500 miles. Also comes with Ducati Ever Red factory 7 year warranty that is transferable.In total you are at $15,925 and you still have sales tax and registration. Vs $12,575. I know everything adds up quickly."
300 miles,"$49,900 ",PANIGALE V4 SP2,  2023 Ducati Sportbike,"The Panigale V4 SP2 is the top-of-the-range model for Ducati super sports bikes: a special, exciting version for track riding, even more intuitive and less strenuous for riders of all levels.The Panigale V4 SP2 is characterized by the special ""Winter Test"" livery, in which the matt black of the fairings is combined with the matt carbon finish of the rims and wings, contrasting with the bright red accents and the brilliance of the exposed brushed aluminum tank. 1,103 cc Desmosedici Stradale of MotoGP origin, carbon fibre rims, Brembo Stylema R® brake calipers, MCS radial master cylinder, dry clutch, 520 chain, billet footpegs and a specific kit for track use: the ""SP"" technical specifications push to the maximum the racing characteristics of the Panigale V4 and accompany all the improvements made on the latest version."
800 miles,"$29,500 ",STREETFIGHTER V4 S,  2022 Ducati Sportbike,"I am parting with this one of a kind black 2022 Street Fighter S in perfect showroom condition. This is upgraded to the hilt and there is nothing else you will need to do to the bike. It is ready for the canyons, the twistys or the track. Wherever you take it, it will stop traffic and induce adrenaline. The Streetfighter V4 S is equipped with the 1,103 cc Desmosedici Stradale engine. The 90° V4 delivers 208 hp at 13,000 rpm. In addition, this bike has over $10,000 in upgrades-- here are a few of them-- full Akrapovic titanium race exhaust and ti header, rear delete with integrated LED lights. Front LED lights, carbon fiber front and rear fender, carbon fiber gas tank shroud, Rizoma brake and clutch fluid encasements, Dukati factory gas cap, MotoGadget polished stainless steele clip-on mirrors, Moto GP style adjustable foot pegs, Rizoma clutch and brake levers and more. This bike has been lightly   and has only 800 miles. Sounds like a dream-- rides like a dream. Asking $29,950 OBO. I have over $40,000 invested in this bike. Text or email me for more pics or video."
,"$15,199 ",Multistrada 1260 Enduro,  2019 Ducati Standard,The wild side of Ducati: The Multistrada 1260 Enduro expands the concept of adventure with a Ducati Testastretta DVT 1262 engine with full torque curve and a renewed chassis for greater ease of riding at low speeds or when maneuvering. A combination of performance and comfort that makes your travels unforgettable both on-road and off-road.
982 miles,"$11,499 ",Diavel,  2013 Ducati Sportbike,
3 miles,"$47,495 ",Panigale V4 SP2,New 2023 Ducati Sportbike,
879 miles,"$14,999 ",Multistrada 1260 Enduro,  2019 Ducati Standard,
"4,400 miles","$11,500 ",MONSTER 821 DARK STEALTH,  2021 Ducati Standard,"Incredibly Clean. Loaded. Like-New Condition.- 4,400 Miles - DP Front LED Turn Signals - Black Handlebars - CRG RC2 Adjustable Levers - CRG LaneSplitter Mirrors - DP Carbon Fiber Tank Protector - Termignoni Dual-Pipe Slip-On Exhaust System - EvoTech Exhaust Pipe Hangers - MotoDynamics Tail Tidy w Integrated Progressive Rear LED Brake Light & Signals- Denali SoundBomb 113 Decibel HornThe only blemish is the left side Ducati emblem (letter “U”) is peeling. Comes with:- 2 Keys- Owner’s Manual- Passenger Pegs (not pictured)I’ve   both national haulers (haulbikes.com) & independents (UShip.com) and will assist with shipping as best I can."
"6,136 miles","$17,995 ",PANIGALE V2,  2020 Ducati Sportbike,"What has started off as a competent, standard Italian platform, is now a truly sublime sport biking experience. Performance and aesthetics have all been enhanced through weight reduction, enhanced power and cleaner lines. All while offering riding protection for every aspect you can expect to potentially encounter on the road and track.Some photos were taken before upgrades. Upgrades are shown in additional pictures.This bike is ao good in every way.V4 electronics.Single sided swing arm.This is the actual product Ducati intended to deliver to the enthusiast, had they not need to work around Euro 5 government regulations.Performance Upgrades:- Arrow Titanium cat delete exhaust- Sprint high flow air filter- Termignoni T800 Upmap ECU tune- Throttle spacer kit (precise throttle control).- Li-Ion Battery (Built-In Jumpstart)Aesthetic Upgrades:- Ducabike front caliper reflector delete- NRC tail tidy- Agip Italian fuel decals- Larger smoked Puig wind screen- CRG bar end mirrors- NRC front turn signal block offsProtection Upgrades:- Woodcraft clutch slider guard- Clear Tank grips- GB Racing stator cover guard- Speedy Moto bar end sliders- Speedy Moto F/R axle sliders- Dicei83 Radiator/Oil cooler protectionQuality Touches:- Battery tender- Dual USB outlets on handlebar- New F/R Pirelli Rosso III Tires- New Motul 5.1 Brake/Clutch Fluids- Fresh radiator fluid- Fresh oil and filterThe snaps, crackles and pops add grand theater while hitting the Ducati Quick Shifter up/down the 6 gears in the most satisfying gear box I've ever  .Never have I been on a bike that commands attention like this. A true neck breaker.She was a very good stock bike, and as the upgrades were installed, during all the rain, I've absolutely fallen in love with the enhanced performance.Dropping 20lbs of weight, higher airflow, big sound, comfort, aesthetics and creature comforts.Turn key and GO!First person to test ride will most likely ride away with her.No particular hurry to sell and milage will go up.Cash in hand for test ride.Please have your finances in order before contacting me and thanks for looking."
961 miles,"$23,995 ",SUPERBIKE 959 PANIGALE,  2017 Ducati Sportbike,Full List of Upgrades Coming Soon. Stay Tuned!
"1,814 miles","$13,995 ",SCRAMBLER 1100 SPORT PRO,  2022 Ducati Sportbike,2022 Ducati Scrambler 1100 Sport PRO Matt Black
"9,950 miles","$15,250 ",MULTISTRADA 1260 S,  2019 Ducati Sport Touring,
"1,458 miles","$77,999 ",Desmosedici D16RR,  2008 Ducati Sportbike,"2008 Ducati Desmosedici D16RR, 2008 Ducati Desmosedici RR Team Version. #964 17"" BST carbon wheels plus factory OEM wheels included. Keys, manuals and stand. Race exhaust installed. Does not have stock mirrors or stock exhaust."
,"$26,995 ",Diavel V4 Thrilling Black BASE,New 2023 Ducati Sportbike,"2023 Ducati Diavel V4 Thrilling Black, 2023 Ducati Diavel V4 Thrilling Black"
5 miles,"$24,195 ",Diavel 1260 S Total Black,New 2022 Ducati Sportbike,"2022 Ducati Diavel 1260 S Total Black, $300 Ducati accessory gift card included. Find current manufacturer's promotions - Copy this link to your browser: https://www.munroemotors.com/check-out-the-manufacturer-promotions--xpromos-- Note: where stock images are  , photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by Munroe Motors are subject to freight, title transfer and document preparation fees and set up fees. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: Munroe Motors can accept your motorcycle, scooter in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * Munroe Motors is the oldest motorcycle shop in San Francisco. Established in 1958, we specialize in servicing, supporting and selling Ducati, Triumph, Husqvarna, MV Agusta and Moto Guzzi motorcycles.  2022 Ducati Diavel 1260 S Total Black"
124 miles,"$99,950 ",DIAVEL 1260 LAMBORGHINI,  2021 Ducati Sportbike,
"4,400 miles","$20,999 ",Multistrada V4 S Travel & Radar,  2021 Ducati Standard,
"14,314 miles","$6,500 ",MONSTER S2R 1000,  2007 Ducati Sportbike,"2007 Ducati Monster S2R 100014k milesClean Ga title2 ownerServiced at Ducshop during current ownership.Timing belts, fluids and tires replaced in August of 2021. Less than 50 miles added since.Full arrow exhaust with carbon tipsOhlins rear spring and Ohlins internals on front forks.Swing arm and most hardware was powder coated Black to match frame.Adjustable leversBar end mirrorsTank has liner replaced in 2021. Tank and tail cover repainted as well as ceramic nano coated in late 2021. Xpel PPF added to tank. Small paint chip present on tank (see photos).1 key but red key immobilizer removed by first owner.Carbon front fender and chain guards.Comes with spare fender with minor scratches from storage as well as extra tank that needs to be re-lined and painted.Not interested in trading.More pictures and videos available on request.located north of Atlanta.Call or text me at (404) 665-7803"
,"$27,195 ",Multistrada V4S Travel & Radar V4 S,New 2023 Ducati Sport Touring,"2023 DUCATI Multistrada V4S Travel & Radar, IN STOCK & Available!DEMONSTRATOR MULTI! Come take it for a test ride!   Features  Engine"
5 miles,"$12,995 ",MONSTER PLUS,New 2023 Ducati Sportbike,
2 miles,"$26,795 ",Multistrada V4S Ducati Red / Spoked Wheels 950 S SPOKED WHEELS,New 2022 Ducati Sportbike,"2022 Ducati Multistrada V4S Ducati Red / Spoked Wheels, 2022 Ducati Multistrada V4S Ducati Red / Spoked Wheels"
2 miles,"$26,295 ",Multistrada V4S Aviator Grey / Alloy Wheels V4 S SPORT,New 2022 Ducati Sportbike,"2022 Ducati Multistrada V4S Aviator Grey / Alloy Wheels, 2022 Ducati Multistrada V4S Aviator Grey / Spoked Wheels"
903 miles,"$19,995 ",XDiavel S,  2020 Ducati Standard,"2020 Ducati XDiavel S,"
"8,750 miles","$15,999 ",MULTISTRADA 1200 S PIKES PEAK,  2016 Ducati Sport Touring,"****** EXTREMELY low mileage and pristine condition*******, run and look as brand new. Always kept with its Ducati cover in the garage. Service at DUCATI NewPort Beach dealer. Many extras comes with the bike as follows:DUCATI top boxQuickShifter easy kit installed (iQSE-1 + QSX harness)*** No Clutch needed downshiftingGARMIN ZUMO 595LM with BracketBeltronics RX65 Professional Series Radar Detrector and bracketGerbing 12V Heated Jacket LinerGerbing 12V Hero Heated Motorcycle GlovesGerbing 12V Dual Temperature Controller (Wireless Ready)Gerbing 12V Dual Wireless RemoteGerbing wired readyDUCATI Multistarda 1200 Heated Hand GripsRIZOMA Gas TankYellow Aluminun caps and moreDUCATI Single Sided Rear StandBattery ChargerCel Phone HolderDucati Original Carbon Fiber WindshieldDucati seat riserDUCATI Multistrada Indoor Bike Canvas (cover)Airhawk 2 Dual Sport Comfort Seat CushionAnd more.The real value of this bike is on the low mileage and its condition, all the extras comes with the bike as ""freebies"" ( over $3.5K), you might or might not have some of them. Pink Slip on hand ready to go."
"27,596 miles","$13,495 ",1098 S TRICOLORE,  2007 Ducati Sportbike,
9 miles,"$31,595 ",Multistrada V4 Pikes Peak Livery,New 2023 Ducati Sportbike,"2023 Ducati Multistrada V4 Pikes Peak Livery, Financing as low as 3.99% with approved credit.  2023 Ducati Multistrada V4 Pikes Peak Livery"
"7,020 miles","$12,994 ",Diavel Titanium,  2015 Ducati Sportbike,"Exclusivity, technology, craftsmanship. A limited edition.The new Diavel Titanium, produced in a limited series of just 500 numbered bikes, was created to satisfy the demands of those in search of an even more radical degree of customization and refinement. The philosophy inspiring the Diavel Titanium is that of creating an exclusive bike enhanced with components and accessories made in sophisticated and innovative materials."
"1,717 miles","$47,200 ",SUPERLEGGERA,  2014 Ducati Sportbike,"2014 Ducati 1199 Panigale SuperlegerraVin# ZDM14BVW0EB0210891717 miles#234 of 500 madeBike is immaculate with out a blemish anywhere. Entire bike is paint film protected and ceramic coated. Has 2 keys, all paperwork and receipts. Bike is paid off with clear Florida title. Amazing machine that is carbon fiber, magnesium and titanium everywhere. If you know what a Superlegerra is then you know this bike.$47,200 or best offer – call or text for details at 248-505-1530Bike is located in Vero Beach Florida 32962 in a climate controlled facility."
"2,690 miles","$17,900 ",MULTISTRADA 1260 S ENDURO,  2019 Ducati Sport Touring,2019 Ducati Multistrada 1260 Enduro
560 miles,"$11,000 ",SCRAMBLER DESERT SLED,  2019 Ducati Dual Sport,"2019 Desert Sled with well chosen upgradesLike New conditon. Not a scratch on it. RarelyDriven only on the HWY.If you are interested in the bike or have any questions,PLEASE text or call 817 726-7525. I also check this email account david@pformaps.comIf the ad is still up the bike is still for sale.This is the model that got it all from Ducati. Led ligths ABS breaks that work very well. Can turn off onHeated GripsAfter Market Titanium Arrow ExhaustINCREDIBLE SOUND without all the VolumeKN IntakeHand GuardsSmall removable windshield for road tripsReduced length Tail Light mountNew Larger Foot PedalsStill on first oil due to low miles and comes with first oil change oil and filter for 600 mile changeDucati Tank BagLower Aftermarket Seat plus original seatLowered about 2.5-3 inches with forks lowered. (clamps were loosened and slide down about 1"" To change back just loosen and slide up. Takes about 10 minutes) Tires like newVERY LOW MILES 565 milesAll original parts includedFactory SpecsDashboard: LCD | Standard equipment: Steel tank with interchangeable aluminium side panels, headlight with DRL by LED light-guide and interchangeable aluminium cover, LED rear light with diffusion-light, LED turn indicator, LCD instruments with gear and fuel level indications and interchangeable aluminium cover, under-seat storage compartment with USB socket, ABS cornering, machine-finished aluminium belt covers, black engine with brushed fins. | Desert sled equipment: Aluminium handlebar with cross-strut, front stem protectors, seat with specific design, high front mudguard, long rear mudguard and high plate support 24 months unlimited mileage 12,000 km (7.500 m) / 12 months 12,000 km (7.500 m) Emissions and Consumption CO2 5,1 l/100 km - 119 g/km *Kerb weights indicate total bike weight with all operating consumable liquids and a fuel tank filled to 90% of capacity (as per EC standard"
"1,618 miles","$22,200 ",STREETFIGHTER V4S,  2022 Ducati Sportbike,2022 Ducati Streetfighter V4 S Ducati Red
187 miles,"$48,499 ",1199 Superleggera 1299,  2014 Ducati Sportbike,"2014 Ducati 1199 Superleggera, 2014 Ducati 1199 Superleggera #311 Two keys and manual with Akrapovic race exhaust installed.  2014 Ducati 1199 Superleggera"
"12,000 miles","$12,000 ",999 S,  2004 Ducati Sportbike,
7 miles,"$25,795 ",Multistrada V4S Ducati Red / Alloy Wheels V4 S SPORT,New 2022 Ducati Sportbike,"2022 Ducati Multistrada V4S Ducati Red / Alloy Wheels, 2022 Ducati Multistrada V4S Ducati Red / Alloy Wheels"
"4,848 miles","$8,500 ",HYPERMOTARD 1100 S,  2008 Ducati Sportbike,"This bike is a rare 1of 10 Neiman Marcus, hyper Motard. Full exhaust system, velocity, stacks, air filters, power commander, Ducati performance, ECU, all carbon, fiber, fairings, painted from factory, new tires, front and rear, steering stabilizer, custom, levers, windshield frame, sliders, Nichols lightened, flywheel, front and rear axle spools Sargent seat, Ducati performance racing seat, and complete ESR dry clutch set up with open clutch cover, oil, cooler guard, new battery many many extras. This bike is like new 1 owner serious buyers only. All stock parts come with bike."
"1,017 miles","$13,200 ",HYPERMOTARD 950,  2022 Ducati Sportbike,2022 Ducati Hypermotard 950 Ducati Red
,"$18,000 ",Diavel DARK STEALTH,  2020 Ducati Cruiser,"Super clean 2020 Ducati Diavel Dark Stealth. Only 3,352 miles babied and garaged. Termignoni exhaust, Rockform phone holder, over 170 hp with exhaust. Includes chain stand and cover."
"1,176 miles","$8,195 ",Scrambler Icon,  2019 Ducati Standard,"2019 DUCATI Scrambler Icon, Immaculate and up to date on all service needs! Just needs a rider.   Cool New Features  Engine  Transmission"
"2,100 miles","$8,750 ",SUPERSPORT 900,  2002 Ducati Sportbike,"Last year of production of this famous body style. collectible! Less than 2200 original miles on this showroom condition and nearly flawless 2002 Ducati 900 SuperSport in rare ""Blackwidow"" color. Ridden only sparingly to keep its value up and to preserve its condition for future appreciation. This Pierre Terblanche, Italian-designed beauty will light your hair on fire and turn heads everywhere you go. I just replaced all fluids & the battery, and have shoed the bike with a set of new Pirelli Angel GT tires. I have owned the bike for two years and have always stored it in a bike bubble (pictured next to my RT). I have owner's and service manuals and the bike was recently given a clean bill of health by a qualified mechanic. No excuses are offered for what surely will be this bike's continued upward-moving price tag & desirability, and it won't cost you $20k or more for admission to the ride. I'm happy to discuss details by phone (facetime) and plan for shipping at your convenience. Call me (in the mountain time zone) and let's put this sweetheart in your garage. Some pics here show the previous tires. Thanks for looking. Please Call: (208)-994-5400 for more information"
,"$11,695 ",Scrambler Nightshift,New 2023 Ducati Standard,"2023 DUCATI Scrambler Nightshift, IN STOCK!Through 4/31/2023, enjoy financing as low as 3.99% (wac) and no payments for 90 days!   Features  Engine"
,"$18,295 ",DesertX RR22 Livery,New 2023 Ducati Sportbike,"2023 Ducati DesertX RR22 Livery, 2023 Ducati DesertX RR22 Livery"
9 miles,"$18,295 ",Panigale V2 Ducati Red,New 2023 Ducati Sportbike,"2023 Ducati Panigale V2 Ducati Red, Financing as low as 6.99% with approved credit.  2023 Ducati Panigale V2 Ducati Red"
1 miles,"$22,750 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,  2022 Ducati Sportbike,
"3,558 miles","$8,999 ",Hypermotard 939 SP,  2016 Ducati Competition,"Thrilling performance pushed to the edge. Set-up to hit the road as if it were a track. Fully adjustable Öhlins suspension and Ducati Safety Pack including ABS and Traction Control. Lightweight and agile thanks to the forged Marchesini wheels. The Hypermotard 939 SP brings its decidedly sporting temperament to the forefront, enhanced by an exclusive livery. Hypermotard 939 SP: a dose of pure adrenaline."
"8,500 miles","$6,900 ",MONSTER 1100 EVO,  2013 Ducati Sportbike,"2013 Ducati Monster 1100Evo. 8500 miles. Fantastic condition, ready to go. Adult riden, never ab , always correctly maintained.New Battery 2021. New Rossa Corsa II Tires 2021. Project SC carbon fiber exhaust. Ohlins adjustable competition rear shock/spring. Rizoma handlebars. Cell phone mount, bike cover, tail bag. Bike looks, runs and rides exactly as a Ducari should. Last of the air cooled Monsters, first with ABS and traction control. $6,900Bike is in Brunswick GA, about an hour south of Savannah.IMPORTANT: DO NOT CONTACT ME SAYING YOU WANT TO BUY THE BIKE AND WILL SEND ME A CASHIERS CHECK AND HAVE SOMEONE PICK UP THE BIKE. FOR A COMPLETELY NOT IN PERSON TRANSACTION A WIRE TRANSFER OF VERIFIED FUNDS AND A 72 HOUR WAITING PERIOD IS REQUIRED. Really scammers are all over this place."
"5,852 miles","$49,999 ",900 SS,  1977 Ducati Custom,"1977 Ducati 900 SS, 1977 Ducati 900SS Documented history.  1977 Ducati 900SSRestored Previously owned, restored, and rebuilt by Stuart Rust, Ducati Master Mechanic formerly with AMS Ducati Dallas. Subsequent owner bought it and sent it to Retrospeed and spent $4700 to bring it up to the next level. Notes are in the photo set. Starts first/second kick -- solid motor, solid work all around New tires etc New gel battery and battery tender are attached."
987 miles,"$21,999 ",Streetfighter V4 S Ducati Red,  2021 Ducati Sportbike,"2021 Ducati Streetfighter V4 S Ducati Red, Maali Motorsports is proud to present this 2021 Ducati Streetfighter V4 S Ducati RedUpgrades - NRC Tail Tidy Kit CRG Bar End Mirrors  2021 Ducati Streetfighter V4 S Ducati Red"
,"$8,000 ",SCRAMBLER FULL THROTTLE,  2019 Ducati Standard,"The Scrambler Full Throttle is an awesome urban commuter, California coastal cruising bike.In addition to being an awesome urban commuter, the Scrambler 800 Full Throttle is also a great first or second bike, for those wanting to grow through the various sizes and power options of motorcycles. NOTE: Seat height is 31.9"" - great for shorter riders. This Scrambler has been modified with a full adjustable suspension: Andreani Misano fully adjustable race cartridges in the front and an Ohlins DU 505 rear shock. This is a great upgrade to the Scrambler and is fully adjustable for your weight and riding styles. There is also a bunch of billet parts added (the red aluminum covers and such). I do have all of the original parts. And yes, it does have a simple, effective tail tidy.This Scrambler does come with custom graphics. The tank and rear seat cover are painted graphics. The side number panels are vinyl.This Scrambler currently has 3,000 miles on it's tire set. And an off cycle oil change and brake fluid change was completed in the past 45 days.This bike has been meticulously serviced where it was purchase (Ducati Newport Beach, and 562 Motorssports in Long Beach, CA. All services are up to date.Because this bike was primarily an urban commuter running up and down the coastal communites, most of it's engine miles were in the 4,000-5,000 RPM range - the bike was gently riden. All photos were taken Feb. 5, 2023. Bike has never gone longer than 500 without a fully clean/detail including full chain cleaning.I am selling this bike to make room for a Supermoto."
"5,704 miles","$17,299 ",Panigale V4,  2018 Ducati Sportbike,"2018 Ducati Panigale V4, Maali Motorsports is proud to present this 2018 Ducati Panigale V4Upgrades - NRC Tail Tidy Kit  2018 Ducati Panigale V4"
"5,500 miles","$9,500 ",MONSTER 1200 S,  2015 Ducati Sport Touring,"5502 miles, will increase slightly with good weather. S model full Ohlins suspension, Termignoni slip-ons with mapping update, MRA windshield, Rizoma mirrors, SW-Motech tankbag ring , Ducati side cases, Ducati comfort seat, and a tail tidy kit. All removed parts go with sale. Also available is a T-Rex single sided swingarm rear stand, price negotiable with sale of bike. SW-Motech City bag pictured not included in sale. Some color fading on the inner side of saddlebags, the pictures appear worse than it actually is. Just my impression, others may feel differently. There is no color fading on the bike itself. Color washout is all the fault of my cell phone camera. Bike is set up as a sport tourer and plays that role well, but it can also rip the curves at the same time."
"8,431 miles","$8,995 ",HYPERMOTARD,  2013 Ducati Dual Sport,
