mileage,price,Bike,Types and Used Time,description
"5,420 miles","$15,999 ",R 18 B FIRST EDITION,  2022 BMW Touring,"Only 5,420 miles on this very nice BMW!"
"1,837 miles","$15,595 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 1837 miles.  This bike has BMW Factory Warranty remaining until 11/17/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Cap, Headlight Pro, Select Package, Adaptive Headlight and Hill Start Control.  The previous owner also added an impressive list of accessories which include Freedom Performance Pipes, Wunderlich Foot Pegs, Wunderlich Shifter Peg, Wunderlich Engine Guards, Tank Knee Pads, Wunderlich Oil Cooler Guard, Axle Sliders, Tank Bag, BMW Fastback Seat, BMW Roland Sands Machined Cylinder Head Strips, BMW Roland Sands Machined Front Engine Strip, BMW Roland Sands Machined Brake and Clutch Reservoir Covers, BMW Roland Sands Machined Foot Brake Reservoir Cover and a Battery Tender Lead.  This bike is an absolute head turner."
"6,840 miles","$19,995 ",K 1600 B,  2019 BMW Touring,"This   2019 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 6840 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with changing the rear drive fluid and also completing a brake fluid flush. The previous owner had new tires installed by Cycle Werks just prior to trade in so this bike is ready to ride.  This bike is equipped with the Select Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Touring Package, Audio System with Radio, Comfort Package, ABS Pro, Auxiliary LED Running Lights, Center Stand, Option 719 Forged Wheels, Floor Boards, Central Locking System, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm System, Engine Protection Bars, Safety Plus Package, Battery Tender Lead and a Remus Exhaust System."
"24,805 miles","$18,995 ",K 1600 GTL,  2018 BMW Touring,"This   2018 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 24805 miles.  Our service department has inspected the bike and performed the 24K service along with installing new tire so that this bike is ready to ride.  It is equipped with the Luxury Plus Package, Bluetooth Interface, Dynamic Electronic Suspension Adjustment, Hill Start Control, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro,Audio System with Radio, Central Locking System, Tire Pressure Monitors, Anti Theft Alarm System, Safety Package, Power Adjusting Windscreen, Heated Seat, Heated Grips, Reverse Assist, ABS Pro, Auxiliary LED Running Lights, BMW Navigation System and a Battery Tender Lead."
"13,743 miles","$16,500 ",K 1600 GT,  2016 BMW Sport Touring,
"19,500 miles","$29,995 ",R 18 CLASSIC FIRST EDITION,  2021 BMW Classic / Vintage,
3 miles,"$30,978 ",S 1000 RR,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: . Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. That’s why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind – claiming the pole position over and over again."
300 miles,"$19,999 ",K 75 S,  1990 BMW Custom,
"81,471 miles","$12,995 ",R 1200 GS ADVENTURE,  2016 BMW Dual Sport,"This   one owner 2016 BMW R1200GS Adventure is for sale at Cycle Werks in Barrington in Barrington IL and is in very nice condition with 81481 miles.  This original owner of this bike has had this bike dealer serviced at either Mischlers or Cycle Werks and our service department has inspected the bike and performed an oil and oil filter change so it is ready to ride.  It is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, LED Style Element, On Board Computer, Ride Modes Pro, ABS Pro, Tire Pressure Monitors, Auxiliary LED Running Lights, Keyless Ride, Gear Shift Assist Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Engine and Side Body Protection Bars, Cruise Control, BMW Aluminum Side Cases, BMW Navigation System, Battery Tender Lead and a Headlight Guard.  This bike also comes with a 30 day or 1000 mile powertrain warranty whichever comes first."
"13,413 miles","$13,995 ",S 1000 RR,  2014 BMW Sportbike,"This   2014 BMW S1000RR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 13413 miles.  Our service department has inspected the bike and completed an oil and oil filter change along with also installing a new air filter.  They also performed a brake fluid flush so that this bike is ready to ride.  It is equipped with Gear Shift Assist, Heated Grips , Dynamic Traction Control, Tinted Windscreen, Adjustable Brake and Clutch Levers, Battery Tender Lead, TRW Shifter, Rear Spools and an Akrapovic Exhaust."
"45,144 miles","$7,995 ",R 1200 RT,  2011 BMW Sport Touring,
"7,339 miles","$13,500 ",R 1100 S Boxer Cup,  2004 BMW Sport Touring,
"4,570 miles","$17,995 ",K 1600 B,  2018 BMW Touring,"This   2018 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 4570 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready to ride.  It is equipped with the Premium Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Hill Start Control, Touring Package, Floor Boards, Central Locking System, ABS Pro, Auxiliary LED Running Lights, Engine Protection Bars, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro, Audio System w/Radio, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm and the Safety Plus Package."
"13,338 miles","$8,999 ",R nineT,  2015 BMW Standard,Tinted Wind Screen!
"21,528 miles","$5,595 ",G 650 GS,  2009 BMW Dual Sport,"This   2009 BMW G650GS is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 21527 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with performing a chain service on the bike.  It is ready to ride!  This bike has many accessories which include a BMW Top Case, Adventure Style Foot Pegs, V Stream Windscreen, Auxiliary Running Lights, Bash Plate, Battery Tender Lead, Hand Guards, Side Protection Bars, Anti Lock Braking System, Side Stand Plate Enlarger, Center Stand and Heated Grips."
"13,698 miles","$4,999 ",F 650,  1997 BMW Sport Touring,
548 miles,"$14,995 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 548 miles.  Our service department has inspected the bike and performed the 600 mile service so this bike is ready to ride.  It has factory warranty remaining until 7/11/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Adaptive Headlight, Hill Start Control, Floor Boards, Select Package, Headlight Pro, Reverse Assist, Chrome Engine Guards, Machined Roland Sands Headlight Ring, Machined Roland Sands Gas Cap and a Battery Tender Lead."
"10,524 miles","$19,995 ",R 1250 RS,  2020 BMW Sport Touring,"This   2020 BMW R1250RS is for sale at Cycle Werks in Barrington in Barrington Iland is in excellent condition with 10524 miles.  Our service department has inspected the bike and performed the 12K service which included an oil and oil filter change along with changing the rear drive oil and performing a brake fluid flush.  They also installed new spark plugs and a new air filter so this bike is ready to ride.  It is equipped with the Select Package, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Comfort Package, Dynamic Package, GPR Preparation, Exclusive Style Package, ABS Pro, Tire Pressure Monitors, Center Stand, Dynamic Traction Control, Keyless Ride, Ride Modes Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Cruise Control, Luggage Grid, Battery Tender Lead and BMW Saddle Bags."
"24,398 miles","$15,900 ",R 1200 GS ADVENTURE,  2015 BMW Dual Sport,
2 miles,"$22,860 ",R 1250 GS Triple Black,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
,"$22,990 ",R 18 B 719 Galaxy Dust Metallic/Titan Silver 2 Metallic,New 2022 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
"4,456 miles","$22,900 ",R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,
831 miles,"$14,995 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 831 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready for the riding season.  This bike has factory warranty remaining until 4/05/2024 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Filler Cap, Headlight Pro, Select Package, Adaptive Headlight, Hill Start Control, Design Option Chrome, Pinstripe, Reverse Assist, Heated Grips, Anti Theft Alarm System, Cruise Control, Battery Tender Lead and a Mustang Day Rider Seat."
,"$18,500 ",R 1250,  2019 BMW Sport Touring,
"4,153 miles","$18,995 ",R 1250,  2019 BMW Sport Touring,
,"$6,500 ",R1200CL,  2004 BMW Touring,"PERFECT CRUISERALWAYS, ALWAYS GARAGE KEPT, SENIOR OWNED"
"3,080 miles","$14,995 ",R 1250 RS,  2020 BMW Sport Touring,"This pre-owned 2020 BMW R 1250 RS Premium sport touring motorcycle in Imperial Blue Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:0ZSL Select Package0182 DTC (Dynamic Traction Control0191 Dynamic ESA0193 Keyless Ride0222 Gear Shift Assist Pro0224 Ride Modes Pro0230 Comfort Package0233 Touring Package0235 Dynamic Package0253 Tank Cover Pure0272 GPS Preparation0350 Chrome Exhaust Pipe0452 Exclusive Style Package05AC ABS Pro0519 Heated Grips0530 TPM (Tire Pressure Monitors0538 Cruise Control0636 Center Stand0665 Luggage Grid0681 Saddle Bag Mounts0992 Market Launch EquipmentWunderlich Cylinder Head GuardsLED Driving LightsAdmore LED Tail Light"
"4,264 miles","$10,295 ",F 900 XR,  2020 BMW Dual Sport,"This   2020 BMW F900XR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 4264 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with a brake fluid flush and also a chain service.  This bike has BMW factory warranty remaining until 10/08/2023 or 36000 miles whichever comes first and is equipped with Dynamic Engine Brake Control, Ride Modes Pro, ABS Pro, Connectivity, Dynamic Traction Control, Exclusive Style Package, Hand Protection with Extensions, Tinted Windscreen, TFT Screen Protector and a Battery Tender Lead. This bike is ready to ride!"
"7,407 miles","$14,695 ",S 1000 XR,  2018 BMW Dual Sport,"This   2018 BMW S1000XR is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 7407 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with a Chain Service and a Brake Fluid Flush.  This bike is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, Ride Modes Pro, Heated Grips, Hand Protection, Low Seat, Dynamic Traction Control, Gear Shift Assist Pro, GPS Preparation, Low Suspension, ABS Pro, Cruise Control, Center Stand, Tinted Windscreen with Deflector, Battery Tender Lead, Top Case, Carbon Fiber Fuel Filler Surround, Carbon Fiber Ignition Key Surround and Saddle Bag Mounts."
"10,879 miles","$13,500 ",R NINET,  2018 BMW Standard,"This pre-owned 2018 BMW R nineT Cafe Racer motorcycle in Black Storm Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:0145 Spoked Wheels0519 Heated Grips0650 ASC (Automatic Stability ControlUPGRADES:Full Titanium Exhaust SystemUpgraded Open Air FiltersRear Cafe Racer CowlCustom Mesh Headlight GuardBlack Coated Akrapovic ExhaustHand-Painted Pinstriping and Tank LogoPuig Bar-End MirrorsNRC Tail TidyNRC LED Tail Light and Turn Signals"
,"$24,845 ",R 1250 GS,New 2023 BMW Sport Touring,"The BMW R 1250 GS;;Boundless thirst for adventure;;Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
"3,707 miles","$6,700 ",G 310,  2022 BMW Dual Sport,
428 miles,"$4,999 ",G 310 R,  2020 BMW Standard,RIDING PLEASURE.
"1,476 miles","$5,500 ",G 310 GS,  2019 BMW Standard,Everyday adventures.
"3,700 miles","$13,494 ",S 1000 XR,  2016 BMW Sport Touring,
472 miles,"$12,999 ",Rnine T PURE,  2021 BMW Cruiser,
"4,467 miles","$4,900 ",G 310 GS,  2019 BMW Dual Sport,"This pre-owned 2019 BMW G 310 GS dual sport motorcycle in Racing Red is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:Upgraded LED HeadlightLower Engine GuardsUpper Engine GuardsRAM Mount MirrorsOff Road Skid PlateTruactive Phone MountHandlebar RisersLarge Light Smoke Windscreen"
857 miles,"$18,999 ",R 1200 GS RALLYE,  2017 BMW Dual Sport,Condition:
,"$10,495 ",S 1000 R,  2016 BMW Standard,"This   2016 BMW S1000R is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 5057 miles.  Our service department has inspected the bike and all maintenance is up to date so they decided to give the bike a fresh oil and oil filter change so that t is ready for the season.  This bike is equipped with the Premium Package, Dynamic Traction Control, Ride Modes Pro, Heated Grips, Engine Spoiler, Gear Shift Assist, Dynamic Damping Control, Dynamic package, Cruise Control, Battery Tender Lead, Tank Protector and Custom Levers."
"29,896 miles","$14,900 ",K 1600 GTL EXCLUSIVE,  2014 BMW Touring,
"7,033 miles","$23,495 ",R 1250 GS Adventure,  2021 BMW Sport Touring,"The BMW R 1250 GS Adventure;;No destination is too far;;The world is there to be discovered. There's always something new. The R 1250 GS is the queen of the touring enduro It's just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS."
"26,300 miles","$16,495 ",R 1200 GS ADVENTURE,  2017 BMW Touring,"Very clean and well maintained R1200 GS Adventure in Triple Black, with thousands in upgrades. Premium trim with keyless start, heated grips, electronic suspension, ride modes plus, and lots more. I had the clutch completely replaced last season, as well as a recent oil change. This bike runs like new, and needs nothing for at least 4-5k miles."
"11,100 miles","$12,900 ",K 1300 S,  2015 BMW Sport Touring,
,"$29,050 ",K 1600 B 719 Midnight s,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, you’re happy to be riding a little longer, whether on your own or with friends. Simply put: #RideAndShare."
,"$23,920 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
,"$23,025 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades – and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swiveling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
,"$23,025 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
,"$21,500 ",K 1600 GTL,  2018 BMW Cruiser,
"50,586 miles","$10,495 ",R 1200 GS,  2014 BMW Dual Sport,"This pre-owned 2014 BMW R 1200 GS dual sport motorcycle in Thunder Grey Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937"
"2,800 miles","$7,300 ",F 700 GS,  2013 BMW Dual Sport,
"16,325 miles","$26,500 ",R 100 GS,  1992 BMW Dual Sport,
6 miles,"$30,950 ",K 1600 GRAND AMERICA OPTION 719 MIDNIGHT,New 2023 BMW Touring,"Traveling in pairs means experiencing every mile twice. Makes sense, right? However, with the K 1600 Grand America you will experience more. Its six-cylinder engine lets you casually cruise towards the horizon: well equipped with footboards, a top case featuring a backrest and high windscreen. As a result, it won’t be easy to say which was the most beautiful moment of the tour at the end of each day. Still, the stories about every mile will feel at least twice as good. Simply put: #RideAndShare"
"18,384 miles","$10,296 ",R 1200 R,  2016 BMW Sport Touring,
"51,956 miles","$10,500 ",R 1200 GS,  2014 BMW Dual Sport,
,"$4,250 ",F 650,  2010 BMW Dual Sport,Cyclops LED Headlight
"59,645 miles","$4,900 ",R 1100 RT ABS,  2000 BMW Touring,
,"$20,020 ",R 18 Classic,New 2023 BMW Standard,The BMW R 18 Classic;;Iconic. Nostalgic. Soulfuel.;;The R 18 Classic is a modern cruiser with a nostalgic sense of BMW design. It reminds one of the first BMW cruisers suitable for touring. It also invokes timeless marks of our motorcycle history. The heart of the machine is obviously the boxer engine with the most displacement we have ever built. It is designed for relaxing tours and pure enjoyment. Consistently developed history - simply put: #SoulFuel.
10 miles,"$27,465 ",R 1250 RT Alpine White,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its new front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. At the end of the day, you sit back relaxed knowing that the next tour is always the greatest."
,"$17,515 ",F 850 GS Adventure,New 2022 BMW Sport Touring,"The BMW F 850 GS Adventure;;;;The world becomes the adventure;;;;This bike was created for long trips and demanding terrains: The F 850 GS Adventure is at home in the world - and it is clear to see. With the enhanced standard equipment like the TFT display and BMW Motorrad Connected, the USB charge port as well as ABS Pro and DTC, this dual-sport motorcycle is even better prepared for long tours around the globe. Experience the #SpiritOfGS with a companion that lets your curiosity run free - regardless of where your travels take you."
"3,200 miles","$9,900 ",R NINET SCRAMBLER,  2015 BMW Custom,
"5,938 miles","$10,500 ",R 1200 GS,  2010 BMW Touring,
"1,668 miles","$8,450 ",R 80 /7,  1977 BMW Classic / Vintage,Garage Kept
,"$25,495 ",R 18 B,New 2023 BMW Standard,"The BMW R 18 B;;Raw power - pure soul;;The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it's not all about displacement. The R 18 B goes significantly further. It's made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
2 miles,"$20,225 ",R 18,New 2023 BMW Cruiser,100th Anniversary limited edition
2 miles,"$27,460 ",R 18 Transcontinental,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332"
6 miles,"$25,145 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,"The world is there to be discovered. There s always something new. The R 1250 GS is the queen of the touring enduro It s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical ."
2 miles,"$23,995 ",R 18 B,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332"
6 miles,"$24,490 ",R 1250 GS,New 2023 BMW Dual Sport,Aftermarket LED lightsTouratech Engine GuardsTax & Labor incld.
2 miles,"$23,500 ",R 18 B,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332"
2 miles,"$27,985 ",R 18 Transcontinental,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332"
2 miles,"$23,305 ",R 18 Classic,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $250 each MY23 R 18 Classic & R 18 for a total of up to $1,000"
201 miles,"$22,495 ",2023 BMW R18 B Gravity Blue Metallic,New 2023 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
10 miles,"$25,295 ",R 1250 GS Adventure GS Trophy,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease."
150 miles,"$17,995 ",R 18 B,  2022 BMW Cruiser,
108 miles,"$16,464 ",F 850 GS 850 GS ADVENTURE,New 2022 BMW Dual Sport,"Live the challenge. Ride on where others turn back. Turn challenges into opportunities. This is the . In this process, the BMW F 850 GS is perfectly streamlined for off-roading, as can be seen from its 21-inch front wheel. What matters is your curiosity and what drives you regardless of how far or where you want to ride. The expanded standard equipment and a variety of special equipment and special accessories means that you can easily discover what lies beyond the horizon with the F 850 GS."
4 miles,"$15,340 ",R NineT Urban G/S,New 2022 BMW Standard,"As the crow flies? No, the detour is the destination. And when it comes to gravel, the R nineT Urban G/S is also in its element. Its design is reminiscent of the first G/S models, the legendary BMW R 80 G/S. And with it, the idea that simply anything is possible. The geometry with the upright, relaxed seating position, the well-balanced handling and the boxer with its unmistakable sound, challenge you to rewrite history with the R nineT Urban G/S your history. Personal, individual and truly"
4 miles,"$29,540 ",K 1600 GT,New 2022 BMW Sport Touring,Your trip is perfect if you have forgotten everything you left behi
"5,248 miles","$13,990 ",F 850 GS 850 GS ADVENTURE,  2021 BMW Dual Sport,New BMW Motorcycles
"2,687 miles","$12,465 ",F,  2021 BMW Dual Sport,
"1,049 miles","$12,750 ",R 18,  2021 BMW Cruiser,UB6D55284 / R 18 Pure - K34 / Color: Black Storm Metallic - ND2 / Factory Options: Premium Package - 0ZPP / Adaptive Headlight 134 / Hill Start Control 204 / Design Option Chrome - 035A / Passenger Kit 413 / Reverse Assist - 05AA / Heated Grips 519 / Select Package - 0ZSL / Locking Fuel Filler Cap - 017C / Headlight Pro 219 / White Pinstripe - 035B / Special Edition - 047B / Brake Light US - 05AB / Anti Theft Alarm System 603 / Miles (aprox) -  480 / Year - 2021
